group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,ENSG00000167751,47.966206,5.209408,0.0,0.0,0.9982222222222222,0.6336522228474958
0,ENSG00000142515,47.085255,4.5446577,0.0,0.0,0.9911111111111112,0.5370005627462014
0,ENSG00000159674,46.387154,4.725096,0.0,0.0,0.9431111111111111,0.28123241418120426
0,ENSG00000127954,42.788036,4.8248463,0.0,0.0,0.8666666666666667,0.18683173888576252
0,ENSG00000167749,39.486206,3.8496811,0.0,0.0,0.888,0.22200337647720877
0,ENSG00000198712,38.785683,2.4512382,0.0,0.0,0.9955555555555555,0.863252673044457
0,ENSG00000198899,38.115887,3.3827477,0.0,0.0,0.9875555555555555,0.6447664603263928
0,ENSG00000198886,37.783028,2.9833758,0.0,0.0,0.9875555555555555,0.703573438379291
0,ENSG00000169083,37.75372,4.2015295,0.0,0.0,0.7804444444444445,0.16657287563308948
0,ENSG00000103942,37.22934,3.2940927,2.288461306964009e-303,3.914641911692634e-300,0.8497777777777777,0.2765897580191334
0,ENSG00000212907,36.45851,2.7133846,5.042942450112072e-291,7.842233959237919e-288,0.9777777777777777,0.694991558806978
0,ENSG00000103534,35.487717,3.6395485,7.604041150630054e-276,1.0839560660223143e-272,0.7937777777777778,0.19400675295441755
0,ENSG00000103202,35.021225,2.8611846,1.0695213255014234e-268,1.4073255226174884e-265,0.8355555555555556,0.3465109735509285
0,ENSG00000198727,34.729866,2.7510283,2.7912214585904916e-264,3.4104738764749253e-261,0.9626666666666667,0.5991840180078785
0,ENSG00000158715,34.579914,3.4648993,5.0641701708316717e-262,5.775179662816438e-259,0.7982222222222223,0.2592853123241418
0,ENSG00000125257,34.55466,3.8936324,1.2131519753442206e-261,1.29701110563989e-258,0.7315555555555555,0.17149690489589195
0,ENSG00000157214,34.02587,3.4659374,9.233813432504172e-254,9.291388975083314e-251,0.768,0.2227068092290377
0,ENSG00000166165,34.020626,2.531676,1.1039392802170884e-253,1.0491102959663062e-250,0.896,0.4905740011254924
0,ENSG00000198938,33.93283,2.285019,2.185736200668128e-252,1.9678528130857368e-249,0.9964444444444445,0.8583286437816545
0,ENSG00000169100,33.465588,2.5982356,1.527186960224356e-245,1.3062030070798917e-242,0.8355555555555556,0.40869442881260554
1,ENSG00000089199,37.496384,8.164421,1.0549863320681347e-307,1.8046596196357514e-303,1.0,0.3848841723825547
1,ENSG00000180176,37.34779,8.912477,2.7537815060056244e-305,2.3553093220866107e-301,0.9940711462450593,0.13291057331435227
1,ENSG00000100604,37.033054,6.327206,3.365701806292149e-300,1.9191231699477832e-296,0.9980237154150198,0.5368189465510548
1,ENSG00000123454,34.66343,7.728329,2.8037817055849783e-263,1.1990372463934161e-259,0.9308300395256917,0.07622621974893232
1,ENSG00000141744,34.262062,7.58534,2.8840053981886592e-257,9.866759268283041e-254,0.9308300395256917,0.12191018506535525
1,ENSG00000185559,32.64424,4.7424707,9.671731747612684e-234,2.7574107212443764e-230,0.9644268774703557,0.39239031965834087
1,ENSG00000171951,31.931263,4.6116858,9.835013025288962e-224,2.4033961830084712e-220,0.9387351778656127,0.32794098615245243
1,ENSG00000164107,31.754192,6.96067,2.7791170803410594e-221,5.94244709703927e-218,0.8596837944664032,0.053837194253914845
1,ENSG00000103034,30.584496,4.5908694,1.9677638084723715e-205,3.7400630786364874e-202,0.8695652173913043,0.20046589879642812
1,ENSG00000080644,29.940458,5.802087,5.856874806250266e-197,1.0018770043571707e-193,0.8241106719367589,0.08153228937491912
1,ENSG00000102109,29.915003,3.8635473,1.2557215154529147e-196,1.9527611130306872e-193,0.9110671936758893,0.3578361589232561
1,ENSG00000143248,29.617344,6.039355,8.936018665251008e-193,1.2738294607315312e-189,0.8122529644268774,0.07493205642552091
1,ENSG00000008283,28.947388,4.1788588,3.0269539079051607e-184,3.983005657586591e-181,0.841897233201581,0.24718519477158019
1,ENSG00000164326,28.280579,6.3145356,5.990620667658116e-176,7.319682652925695e-173,0.8003952569169961,0.15025236184806523
1,ENSG00000050165,28.17006,5.1631393,1.3612471074763349e-174,1.5523662013660123e-171,0.7944664031620553,0.10430956386696001
1,ENSG00000120885,26.679758,3.6510406,8.085157831915585e-157,8.64404436704675e-154,0.8557312252964426,0.325740908502653
1,ENSG00000168268,26.430683,3.3583312,6.085048144909363e-154,6.122990209812914e-151,0.8359683794466403,0.3423061990423191
1,ENSG00000135916,26.055452,3.97872,1.1669724526245764e-149,1.109012820810889e-146,0.7845849802371542,0.20784262973987316
1,ENSG00000181195,25.99423,6.400905,5.754753216482508e-149,5.181095185323672e-146,0.717391304347826,0.06574349682929986
1,ENSG00000145198,25.920345,4.4217024,3.9281270698251596e-148,3.359727082821459e-145,0.766798418972332,0.21288986670117768
10,ENSG00000168542,30.670008,5.946767,1.4300603630107045e-206,2.4462612569661115e-202,0.8590225563909775,0.18984547461368653
10,ENSG00000108821,30.514418,5.3944807,1.6777996197750556e-204,1.435022014793605e-200,0.8778195488721805,0.2684067004285158
10,ENSG00000164692,25.161623,4.6592774,1.0544174391967559e-139,6.012288238299903e-136,0.731203007518797,0.14439683158031424
10,ENSG00000142173,24.550407,4.241121,4.281838317466045e-133,1.8311281564643542e-129,0.7462406015037594,0.2052980132450331
10,ENSG00000157227,22.49395,4.0362043,4.7570419237978985e-112,1.6274791829697372e-108,0.6691729323308271,0.17582132190624594
10,ENSG00000084636,21.93397,3.9319506,1.2319773876443022e-106,2.634275649130429e-103,0.6635338345864662,0.15361641345279833
10,ENSG00000142156,21.544771,3.3684142,5.927586472831451e-103,1.1266366022694978e-99,0.7105263157894737,0.3200883002207506
10,ENSG00000163359,20.701654,4.518421,3.3468164216321635e-95,5.725064170843979e-92,0.5958646616541353,0.08700168809245552
10,ENSG00000038427,20.645035,4.179255,1.0818432461760635e-94,1.6823645971897946e-91,0.6109022556390977,0.11297234125438255
10,ENSG00000106624,20.517529,4.1086736,1.501566195033316e-93,2.1404826110199923e-90,0.6109022556390977,0.12556810803791715
10,ENSG00000026025,20.330034,2.7488182,6.975357733269834e-92,9.178497645024137e-89,0.7424812030075187,0.4104661732242566
10,ENSG00000148848,18.867582,5.428364,2.1072057049593985e-79,2.252866299314717e-76,0.5131578947368421,0.03713803402155564
10,ENSG00000182492,18.616152,3.838401,2.3769454361744045e-77,2.2588904795110755e-74,0.5582706766917294,0.10128554733151539
10,ENSG00000116132,18.543943,4.631129,9.127627533649063e-77,8.217747188978993e-74,0.5244360902255639,0.06817296455005843
10,ENSG00000198363,17.441994,1.6947161,3.960160603875422e-68,3.2258336804710933e-65,0.7650375939849624,0.56940657057525
10,ENSG00000174348,17.210583,4.185207,2.2119281618996385e-66,1.7198746880661463e-63,0.5037593984962406,0.07700298662511362
10,ENSG00000106571,17.000128,3.3041327,8.194209657422672e-65,6.094354365211837e-62,0.5451127819548872,0.16517335410985587
10,ENSG00000113140,16.887548,2.2953954,5.556463018044784e-64,3.801954255466963e-61,0.6860902255639098,0.37865212310089597
10,ENSG00000154175,16.291618,5.5133924,1.1319315246599877e-59,7.447238715705289e-57,0.4417293233082707,0.027788598883261913
10,ENSG00000204681,16.068733,2.3206668,4.226338067962898e-58,2.677619962613827e-55,0.6090225563909775,0.2924295546032983
11,ENSG00000184012,40.41569,6.114506,0.0,0.0,0.8466593647316539,0.047540983606557376
11,ENSG00000115648,39.491444,3.607792,0.0,0.0,0.9693318729463308,0.39316939890710384
11,ENSG00000120129,37.445103,3.9782584,7.216183019344778e-307,4.114667557630393e-303,0.9211391018619934,0.3655737704918033
11,ENSG00000177694,36.061363,4.1535354,9.152230023829136e-285,3.9139511696905305e-281,0.8225629791894852,0.15382513661202185
11,ENSG00000167034,34.6636,3.7920454,2.7868983928322718e-263,9.534536781557768e-260,0.8466593647316539,0.24098360655737705
11,ENSG00000134758,34.65005,3.4252987,4.45879016964968e-263,1.2712010773671238e-259,0.882803943044907,0.3058743169398907
11,ENSG00000130653,34.48258,3.0714371,1.4635933459136164e-260,3.576603967885475e-257,0.8926615553121577,0.32786885245901637
11,ENSG00000135373,34.3349,3.5397089,2.366530841677963e-258,5.060234572217905e-255,0.8411829134720701,0.19275956284153006
11,ENSG00000126562,34.048973,4.3357987,4.2031867067430445e-254,7.988856867282946e-251,0.7590361445783133,0.09549180327868853
11,ENSG00000167749,33.551575,3.6191435,8.539181532963925e-247,1.460712393028809e-243,0.8521358159912377,0.24576502732240438
11,ENSG00000236699,32.893703,3.064061,2.70432772610732e-237,4.205475462071983e-234,0.8926615553121577,0.30655737704918035
11,ENSG00000103534,32.85505,3.3506846,9.647642718349757e-237,1.375271469500758e-233,0.8576122672508215,0.20341530054644807
11,ENSG00000083307,32.774715,3.4987903,1.3499937259008634e-235,1.77638405194309e-232,0.7951807228915663,0.1448087431693989
11,ENSG00000130940,32.494503,2.8277009,1.2750116949082514e-231,1.5578821466500394e-228,0.9025191675794085,0.3255464480874317
11,ENSG00000142515,32.49208,3.305267,1.3795011801371814e-231,1.5731831458284416e-228,0.9430449069003286,0.5561475409836065
11,ENSG00000086205,32.427254,3.5095575,1.1336097947396958e-230,1.2119705718010772e-227,0.8094194961664841,0.19726775956284154
11,ENSG00000109906,32.185467,2.7351315,2.819137039234756e-227,2.8367151878323376e-224,0.9266155531215772,0.4192622950819672
11,ENSG00000167751,32.174877,3.672221,3.964907289274762e-227,3.7679835605741154e-224,0.9572836801752465,0.6493169398907104
11,ENSG00000154447,31.606258,3.1845703,3.029006890292178e-219,2.7270627297546317e-216,0.791894852135816,0.2069672131147541
11,ENSG00000189060,31.365023,2.9295356,6.071213555444423e-216,5.192708953971615e-213,0.8565169769989047,0.34030054644808744
12,ENSG00000204388,14.488456,6.5240054,1.4332896455080606e-47,2.4517852676060888e-43,0.9868421052631579,0.3329655510604389
12,ENSG00000132002,13.818408,5.9630294,1.973858612813058e-43,1.6882412715390087e-39,0.9605263157894737,0.24494299374770137
12,ENSG00000080824,13.783959,5.384034,3.183236772488105e-43,1.8150816076727176e-39,0.9605263157894737,0.3995341424543337
12,ENSG00000106211,13.544804,5.354188,8.504066678967958e-42,3.6367641152606474e-38,0.9605263157894737,0.42589187201176903
12,ENSG00000112715,12.39087,3.5115805,2.928495246955151e-35,1.0018967938882964e-31,0.9605263157894737,0.611989702096359
