geo_accession,cell_type,cells,median_cnv_score,mean_cnv_score,cnv_high_cells,cnv_high_pct
GSM8848584,Endothelial,194,0.041793123,0.050129257,11,5.67
GSM8848584,Fibroblast,288,0.042307846,0.048451003,21,7.29
GSM8848584,Macrophage,141,0.032566898,0.038633343,0,0.0
GSM8848584,Neuroendocrine-like,506,0.041500986,0.046760444,13,2.57
GSM8848584,Prostate epithelial - AR high,1111,0.064067796,0.072121665,269,24.21
GSM8848584,Steroidogenic-like,1129,0.05558361,0.055040758,34,3.01
GSM8848584,T/NK lymphocyte,79,0.03352702,0.039786324,0,0.0
GSM8848585,Activated fibroblast,12,0.043437,0.051189017,1,8.33
GSM8848585,Cycling,607,0.04594534,0.05532569,66,10.87
GSM8848585,Endothelial,40,0.039918773,0.046509698,0,0.0
GSM8848585,Epithelial-like - uncertain,150,0.05640585,0.053705595,2,1.33
GSM8848585,Fibroblast,324,0.04940462,0.05692689,44,13.58
GSM8848585,Macrophage,58,0.040290438,0.04265333,2,3.45
GSM8848585,Neuroendocrine-like,1677,0.033612,0.043058507,81,4.83
GSM8848585,Prostate epithelial - AR high,2,0.06732914,0.06732914,0,0.0
GSM8848585,Prostate epithelial - luminal,874,0.086313605,0.08739381,350,40.05
GSM8848585,Stress/hypoxia-like,75,0.03219528,0.039191984,0,0.0
GSM8848585,T/NK lymphocyte,39,0.054539923,0.051959094,0,0.0
GSM8848586,Activated fibroblast,520,0.0450408,0.05173575,38,7.31
GSM8848586,Cycling,31,0.031233398,0.041384548,0,0.0
GSM8848586,Endothelial,25,0.046888195,0.043903217,0,0.0
GSM8848586,Fibroblast,3,0.06183701,0.060684245,0,0.0
GSM8848586,Macrophage,200,0.04988546,0.04977773,0,0.0
GSM8848586,Neuroendocrine-like,43,0.051105786,0.052801643,0,0.0
GSM8848586,Prostate epithelial - AR high,12,0.077963196,0.06870233,0,0.0
GSM8848586,Prostate epithelial - luminal,39,0.051084094,0.051674854,0,0.0
GSM8848586,Stress/hypoxia-like,1,0.07803543,0.07803543,0,0.0
GSM8848586,T/NK lymphocyte,53,0.071799286,0.06984246,0,0.0
