names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000167751,46.396442,6.1263165,0.0,0.0,0.9982222222222222,KLK2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000142515,45.733284,5.3441596,0.0,0.0,0.9911111111111112,KLK3,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000159674,43.330498,6.373585,0.0,0.0,0.9431111111111111,SPON2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000167749,40.48795,5.6852345,0.0,0.0,0.888,KLK4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000127954,39.91514,6.4907336,0.0,0.0,0.8666666666666667,STEAP4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000103942,36.183407,4.090894,1.110429100414153e-286,3.16583336528075e-283,0.8497777777777777,HOMER2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000103534,36.171665,5.793075,1.6985725736360517e-286,4.1508260635169003e-283,0.7937777777777778,TMC5,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000169083,35.86681,6.141661,1.0060552378069376e-281,2.1511976122406846e-278,0.7804444444444445,AR,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000198712,35.4814,2.6890097,9.516800567396873e-276,1.8088265611765654e-272,0.9955555555555555,MT-CO2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000130066,35.102642,3.7613573,6.143015661878506e-270,1.0508242591209374e-266,0.8915555555555555,SAT1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000212907,34.903408,3.2627692,6.600384736566855e-267,1.026419830033751e-263,0.9777777777777777,MT-ND4L,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000198886,34.738106,3.5389478,2.096096391955023e-264,2.987985406731886e-261,0.9875555555555555,MT-ND4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000198899,34.674,4.0173063,1.942928058980971e-263,2.556594413609884e-260,0.9875555555555555,MT-ATP6,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000158715,34.653355,4.6893735,3.976433366662159e-263,4.8586335121516355e-260,0.7982222222222223,SLC45A3,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000150347,34.05965,4.4853377,2.9209213578463463e-254,3.3310187164879734e-251,0.7902222222222223,ARID5B,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000103202,33.966167,3.7244022,7.040729566603262e-253,7.527419997894712e-250,0.8355555555555556,NME4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000157214,33.788994,4.805141,2.8617474957279227e-250,2.879591333054226e-247,0.768,STEAP2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000147465,33.02239,4.085186,3.8762072965578975e-239,3.683689000828855e-236,0.8648888888888889,STAR,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000198727,33.01456,3.4131403,5.020423961236687e-239,4.519966962153409e-236,0.9626666666666667,MT-CYB,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000148795,32.85412,3.9751177,9.947590152318034e-237,8.103022721216775e-234,0.8684444444444445,CYP17A1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000196353,32.42466,5.443496,1.2332053628600414e-230,9.588732244129031e-228,0.7164444444444444,CPNE4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000155850,32.047115,4.269544,2.4082574324780517e-225,1.7911152886943284e-222,0.7511111111111111,SLC26A2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000105707,31.947487,5.4884024,5.854704478156379e-224,4.172940616805959e-221,0.704,HPN,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000152818,31.758572,4.699839,2.4179347495806384e-221,1.654447673053056e-218,0.7208888888888889,UTRN,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000198938,31.724638,2.6661265,7.107128624273528e-221,4.675943932570114e-218,0.9964444444444445,MT-CO3,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000125257,31.705582,4.512477,1.3014434892428056e-220,8.245367528513865e-218,0.7315555555555555,ABCC4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000231852,31.21215,3.7739754,7.2893536782785e-214,4.453274429308287e-211,0.8168888888888889,CYP21A2,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000213578,30.911547,6.2754507,8.356474833146788e-210,4.929167534338239e-207,0.6764444444444444,CPLX3,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000160882,30.834927,3.8361487,8.921451413447455e-209,5.087011595947739e-206,0.8,CYP11B1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000184254,30.732595,3.9656827,2.0891200929669627e-207,1.1527899454933183e-204,0.7422222222222222,ALDH1A3,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000204385,30.534927,4.957376,8.964855110584793e-205,4.792275360051984e-202,0.6862222222222222,SLC44A4,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000067113,30.43583,3.6006157,1.8449252940582794e-203,9.563421842473008e-201,0.7608888888888888,PLPP1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
ENSG00000164647,30.218027,5.989388,1.3731213289002743e-200,6.71103241490517e-198,0.6577777777777778,STEAP1,AR_high_vs_Neuroendocrine,Prostate epithelial - AR high,Neuroendocrine-like
