names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000142515,37.459232,4.4180417,4.249527936661576e-307,7.269242488453291e-303,0.9430449069003286,KLK3,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000167751,37.365936,4.93712,1.3974118358093028e-305,1.1952063431676968e-301,0.9572836801752465,KLK2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000103534,36.16725,5.7230234,1.9929852940644843e-286,1.136400214675569e-282,0.8576122672508215,TMC5,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000167749,35.834713,5.6568956,3.182102420488483e-281,1.3608261001218997e-277,0.8521358159912377,KLK4,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000184012,35.73556,5.65402,1.1088090289356424e-279,3.79345744979462e-276,0.8466593647316539,TMPRSS2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000120129,35.473907,4.431377,1.2417581439740484e-275,3.5402524684700125e-272,0.9211391018619934,DUSP1,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000134758,35.023335,4.4468856,9.93261603404755e-269,2.427247569691677e-265,0.882803943044907,RNF138,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000167034,34.294888,4.879558,9.353191162734894e-258,1.9999461003717887e-254,0.8466593647316539,NKX3-1,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000109906,34.2051,3.7325335,2.030526180414934e-256,3.859353426908651e-253,0.9266155531215772,ZBTB16,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000177694,33.63955,4.8911433,4.432988077309585e-248,7.583069405045777e-245,0.8225629791894852,NAALADL2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000135373,33.599155,4.4956627,1.725797043537465e-247,2.6837712933410796e-244,0.8411829134720701,EHF,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000067113,33.411392,4.0464897,9.367500978135873e-245,1.3353372644332688e-241,0.864184008762322,PLPP1,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000083307,33.255608,5.330284,1.693848165710803e-242,2.228843594049923e-239,0.7951807228915663,GRHL2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000086205,32.950478,4.8182893,4.1644553331219456e-238,5.088369494884572e-235,0.8094194961664841,FOLH1,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000204385,32.90076,5.2649717,2.1435410387883223e-237,2.444494200634203e-234,0.787513691128149,SLC44A4,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000196187,32.891914,4.4155564,2.8683472057413697e-237,3.066621706338242e-234,0.8302300109529025,TMEM63A,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000126562,32.37439,5.961355,6.296345656519027e-230,6.335605223553792e-227,0.7590361445783133,WNK4,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000158715,32.29783,4.4020934,7.503454652798864e-229,7.130783071709854e-226,0.8148959474260679,SLC45A3,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000103942,32.225693,3.6641555,7.707831534311911e-228,6.939482432944188e-225,0.8587075575027382,HOMER2,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000014257,31.961,5.0764484,3.8000356662178604e-224,3.250170505316136e-221,0.7831325301204819,ACPP,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000115648,31.52153,2.956032,4.404740912772752e-218,3.5879760978043185e-215,0.9693318729463308,MLPH,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000154447,31.215662,4.1723824,6.53183386922084e-214,5.078797734858713e-211,0.791894852135816,SH3RF1,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
ENSG00000047648,31.034033,5.6039863,1.873757970930768e-211,1.393587123945292e-208,0.7338444687842278,ARHGAP6,Luminal_vs_Neuroendocrine,Prostate epithelial - luminal,Neuroendocrine-like
