names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,gene_symbol,comparison,state_A,state_B
ENSG00000154277,39.59965,5.5077543,0.0,0.0,0.8679245283018868,UCHL1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000107281,34.692524,4.0317416,1.0214011824870291e-263,2.91201477127052e-261,0.8027852650494159,NPDC1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000130294,33.34002,6.3892636,1.0163866258052943e-243,2.5568102383860826e-241,0.7205750224618149,KIF1A,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000179915,30.135529,9.950519,1.6599258986519392e-199,3.020711959823412e-197,0.637466307277628,NRXN1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000173404,30.071651,7.49409,1.1380086693158387e-198,2.0491343470859723e-196,0.6437556154537286,INSM1,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000155093,29.724873,4.662604,3.664011579211552e-194,6.461503306597197e-192,0.674303683737646,PTPRN2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000272398,28.511614,3.4147623,8.409304422937745e-179,1.2294834312715647e-176,0.7264150943396226,CD24,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000184489,28.00892,4.9969535,1.2651803932311035e-172,1.717633000524703e-170,0.6500449236298292,PTP4A3,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000171951,27.937197,4.5942793,9.432119531192013e-172,1.2704396590596108e-169,0.6527403414195867,SCG2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000106772,27.827225,3.5052772,2.032272098539957e-170,2.6537440089789697e-168,0.6922731356693621,PRUNE2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000170017,27.66354,4.8546815,1.91818785985754e-168,2.485797085660839e-166,0.6244384546271339,ALCAM,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000078699,27.565561,3.4855356,2.8804164598383367e-167,3.649807700888488e-165,0.7115902964959568,CBFA2T2,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000131711,27.037447,4.6734796,5.3659455150054994e-161,6.330335446874764e-159,0.6172506738544474,MAP1B,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
ENSG00000100604,27.009817,3.3579967,1.1333350490155995e-160,1.3278650238671812e-158,0.7596585804132974,CHGA,Neuroendocrine_vs_Steroidogenic,Neuroendocrine-like,Steroidogenic-like
