Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),28/67,9.444033861912382e-09,4.407530603354509e-05,0,0,4.668152823214923,86.25757997645385,MVK;MSMO1;HMGCR;TSKU;TM7SF2;NSDHL;CYP11A1;PMVK;APOF;APOE;LDLRAP1;SCARF1;SULT2A1;FDFT1;HMGCS1;OSBPL5;CYP51A1;DHCR24;ACLY;PLPP6;SQLE;SOAT1;CYP11B2;CYP11B1;FDX1;MVD;DHCR7;PPARD
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),146/705,3.484254137421243e-08,8.130507029672471e-05,0,0,1.7236484720295413,29.59922711742413,FOXA1;ARL6IP1;ARAF;CIB1;PHB2;ACTB;IFIT3;AQP1;IGF1R;FAM162A;MYC;ARHGDIA;RUVBL1;ARL6IP5;TNFSF10;AKT1;SOX9;MAP3K5;PHLDA3;TGM2;UNC13B;DAPK2;MAPK8IP3;PRLR;THOC6;BRMS1;SHQ1;NUPR1;TP53;PPIA;NOTCH2;PSMD10;VCP;MAGED1;GLO1;DCUN1D3;HPN;GATA6;OMA1;FOXO3;MTDH;HSP90B1;SAV1;STK3;PRDX3;SOCS2;PRDX5;UBB;BAG3;DDRGK1;BAG1;ABL1;FADD;IP6K2;TXNDC5;TFAP2A;MOAP1;XBP1;NIBAN2;CRADD;GADD45B;CBX4;HSPA5;SIAH2;OSGIN1;TNFRSF10B;DHCR24;SMAD6;MT3;GADD45G;DAB2;CDK5;BCL3;RNPS1;ANP32B;CALR;ARF4;PRR7;HIP1;CITED2;TRADD;FHL2;HSPB1;TRIAP1;CX3CL1;SH3RF1;PTMS;ING4;AIFM1;SIX4;AIFM2;C1QBP;RACK1;MLST8;CTSH;CASP2;PLEKHN1;CTSD;CTNNBL1;DFFA;TSC22D1;SIGMAR1;RHOB;DNAJC3;RNF144B;LATS2;DDAH2;TAX1BP1;TMBIM6;ANGPTL4;SGK1;PHLPP1;SRC;IFI6;FSTL1;MALT1;RELA;HSPD1;PTPA;CLN3;ERBB3;PTK2B;BID;LCMT1;PAK2;SPDEF;CD74;BIK;STAT1;STYK1;NR1H4;TBX3;SOD1;DNAJA1;TJP1;RSL1D1;GOLPH3;REST;RYBP;TFAP4;TCIM;AXL;DNAJA3;FAS;NOP53;HSPA1B
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),14/24,3.116288163124389e-07,0.0003668098569253839,0,0,9.070385623362036,135.8875563498903,MVK;HMGCS1;CYP51A1;DHCR24;MSMO1;HMGCR;TM7SF2;ACLY;PLPP6;NSDHL;PMVK;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Negative Regulation Of Apoptotic Process (GO:0043066),104/482,4.418155655098615e-07,0.0003668098569253839,0,0,1.805468943787425,26.4182955933298,RB1;ARL6IP1;ARAF;CIB1;PHB2;IFIT3;AQP1;IGF1R;NRBP2;MYC;ARHGDIA;ZC3H12A;AKT1;SOX9;PRKCD;PRKCA;MAPK8IP3;PRLR;THOC6;NUPR1;TP53;NOTCH2;PSMD10;GLO1;HPN;MAZ;GATA6;MTDH;HSP90B1;PRDX3;SOCS2;PRDX5;BAG3;DDRGK1;BAG1;APOE;TXNDC5;TFAP2A;XBP1;NIBAN2;CBX4;HSPA5;SIAH2;DHCR24;SMAD6;MT3;DAB2;BCL3;LGMN;ARF4;CITED2;FHL2;HSPB1;SIX1;TRIAP1;CX3CL1;SH3RF1;PTMS;SIX4;MDK;MLST8;CTSH;CASP2;DFFA;TSC22D1;VSTM2L;DNAJC3;RNF144B;DDAH2;TMBIM1;TAX1BP1;HCLS1;TMBIM6;ANGPTL4;ITGA5;YAP1;GRN;SRC;IFI6;FSTL1;MALT1;RELA;HSPD1;CLN3;ERBB3;PTK2B;PAK2;TBX1;CD74;NR1H4;KLF4;MERTK;SOD2;TBX3;SOD1;DNAJA1;TJP1;GOLPH3;TCIM;AXL;DNAJA3;FAS;HSPA1B;GRINA
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),15/28,5.301993056096578e-07,0.0003668098569253839,0,0,7.477095937770095,108.04413240216164,MVK;HMGCS1;CYP51A1;MSMO1;DHCR24;HMGCR;TM7SF2;ACLY;PLPP6;SQLE;NSDHL;PMVK;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Negative Regulation Of Programmed Cell Death (GO:0043069),86/381,6.144750245011342e-07,0.0003668098569253839,0,0,1.9091045447727613,27.304963078844494,ARF4;ARL6IP1;CITED2;ARAF;FHL2;HSPB1;CIB1;TRIAP1;PHB2;IFIT3;CX3CL1;SH3RF1;AQP1;PTMS;IGF1R;SIX4;AIFM2;MYC;ARHGDIA;MLST8;AKT1;CTSH;CASP2;TMEM109;SOX9;TSC22D1;GPX4;MAPK8IP3;PRLR;THOC6;DNAJC3;RNF144B;DDAH2;TAX1BP1;TMBIM6;ANGPTL4;NUPR1;TP53;KANK2;NOTCH2;PSMD10;SRC;GLO1;HPN;GATA6;IFI6;FSTL1;RELA;MALT1;MTDH;HSP90B1;HSPD1;PRDX3;SOCS2;CLN3;PRDX5;ERBB3;BAG3;DDRGK1;BAG1;PTK2B;PAK2;TXNDC5;TFAP2A;CD74;XBP1;NIBAN2;CBX4;HSPA5;SIAH2;LAPTM5;NR1H4;DHCR24;SMAD6;MT3;TBX3;TJP1;DNAJA1;DAB2;GOLPH3;TCIM;AXL;DNAJA3;BCL3;FAS;HSPA1B
GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),14/25,6.20473476534722e-07,0.0003668098569253839,0,0,8.245328613729962,117.84869246267328,MVK;HMGCS1;CYP51A1;MSMO1;DHCR24;HMGCR;TM7SF2;ACLY;PLPP6;NSDHL;PMVK;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),71/297,6.28771985301708e-07,0.0003668098569253839,0,0,2.053813367097521,29.32742212099425,ARHGAP8;TP53RK;JPT2;WWC1;DOCK8;ARAF;HSPB1;SUMO4;ARHGAP39;ARHGAP6;AKAP12;PREX1;LBH;WWC3;AKT1;ITGAV;KMT5A;PRMT5;ARHGEF10;RALBP1;USP7;VWF;PDPK1;DAPK2;ARHGEF19;RHOF;TRAF1;RHOD;VAV1;MOB3B;ARHGAP45;RNF41;MRAP;CEACAM1;TRAF4;SPATA13;RGN;RHOU;EZR;SGK1;TELO2;ARHGEF5;RAPGEF3;CSF1R;PHLPP1;SGMS1;ARHGAP18;SEZ6L2;RELA;STYXL1;STK3;GNA12;RFFL;PAK2;PAK4;MAP2K6;NEK8;WWTR1;ARHGAP29;ARHGAP28;ARHGAP26;MYO9A;HIPK2;BOP1;GPR143;DNMBP;TAOK3;BCL3;UBE2N;F2RL1;NOP53
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Migration (GO:0010634),31/95,1.2053700597949595e-06,0.0006250513410070086,0,0,3.1484375,42.90918551285485,DOCK5;SCARB1;GRN;SPARC;SRC;PIK3CB;EPB41L4B;RAB25;ZC3H12A;ATOH8;ABL1;AKT1;CTSH;PTK2B;RAC1;SOX9;RREB1;SASH1;ANXA3;IQSEC1;PRKCA;FOXP1;RHOB;ADAM9;PRKD1;CALR;PFN1;PLPP3;DOCK1;RIN2;ARF6
GO_Biological_Process_2023,Regulation Of Stress Fiber Assembly (GO:0051492),26/75,2.3983438417792988e-06,0.0010215014900356,0,0,3.4454874089538032,44.587129598438246,FHOD1;PXN;TESK1;ASAP3;TACSTD2;ARHGAP6;ACTG1;RAC1;RHPN2;PAK2;CGNL1;ARHGEF10;SERPINF2;TPM1;LIMK1;ARHGAP28;RHOC;RHOA;TJP1;TMEFF2;EPHA1;PFN1;PHLDB2;ARHGEF5;RAPGEF3;PFN2
