Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Nervous System Development (GO:0007399),78/433,7.434221620808611e-18,2.584135435393073e-14,0,0,3.4961228042411774,137.88861396924233,ROBO2;APP;SH3GL3;NRSN1;PLXND1;CHD7;GRIK1;MSI2;GBA2;ZDHHC2;ROBO1;FGF5;CDH2;ZIC2;DPYSL5;NRCAM;MNX1;SOX4;APC2;RBFOX1;RBFOX2;ADGRV1;DSCAM;APLP1;TMOD2;DYRK1A;NRG1;NAV1;PROX1;NAV2;POU3F2;DNM3;OLFM1;ZEB2;ADGRB2;DCX;TAGLN3;DSCAML1;CHRNA3;C3ORF70;DLX5;DCTN1;DLX6;NRXN1;ADAM22;CRMP1;MST1R;PTN;ASCL1;TRAK1;EFNA5;NEUROD1;UGT8;SNTG2;RELN;SCIN;BTBD3;ADAM23;ST8SIA4;IGF2BP3;NPTX1;DRD2;ST8SIA2;ZIC5;L1CAM;POU4F1;PHOX2B;NELL1;FGF14;GLRB;ARTN;NEURL1;PCDHB3;MELTF;SCN2A;MDGA1;SDK2;ADGRL3
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),53/273,6.907279213932055e-14,1.2004851273813913e-10,0,0,3.7797454237809567,114.53995196421972,GRIK5;GRIK3;GRIK1;GRIK2;CRHBP;GRM4;GRM7;KIF5A;DLGAP1;ERC2;SLC18A2;CHRNB4;SYN2;CACNB1;CACNB2;CACNB3;KCNQ3;AMPH;PAFAH1B1;GRIA1;BRSK1;GRIA2;CHRNA3;STXBP1;KCNA1;NRXN1;SLC1A2;LIN7A;CACNA1E;GLRA3;NPTX1;DRD2;NPTX2;SNCB;GRIA4;SNCA;SYT5;GABBR2;RIC3;GABBR1;SLC12A4;DTNA;SYT1;GAD1;NSG1;GRIN2C;DLG2;TH;GLRB;SYT10;RIMBP2;PCDHB3;ZACN
GO_Biological_Process_2023,Axonogenesis (GO:0007409),40/188,4.040005065726207e-12,4.681019202821432e-09,0,0,4.210562026461608,110.46314810382788,RET;ROBO2;APP;BRSK1;NRXN1;NRXN3;EFNA5;RELN;DPYSL5;KIF5A;PLEKHG4B;TRIM46;TNR;SLITRK5;NRCAM;FYN;CTNNA2;DRD2;PAK3;NTNG1;PLEKHG4;EPHA7;DSCAM;AUTS2;SEMA6D;APLP1;UNC5C;L1CAM;ISL1;POU4F1;NELL2;SHTN1;KLF7;NELL1;MAP1B;MAP1A;S100A6;CNTN1;DSCAML1;CDK5R1
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),36/174,1.10343435490569e-10,8.445008368009796e-08,0,0,4.052725097001124,92.91854451889766,RET;BRSK1;NDRG4;PTPRS;TENM3;STMN2;SEZ6;CRMP1;PTN;RELN;CDH2;FUT9;DPYSL3;TNR;KIF1A;CSMD3;CTNNA2;PAK3;FBXO7;PPFIA2;NTNG1;CAMK1D;MAGI2;PAQR3;CBFA2T2;SRCIN1;TANC2;ZDHHC15;CCDC88A;KIF26A;RUFY3;ROR2;RAB17;TOX;ITM2C;CDK5R1
GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),23/77,1.2147595466067022e-10,8.445008368009796e-08,0,0,6.575495049504951,150.12713153333027,NTNG1;APP;BRSK1;SDC2;APLP1;ISL1;POU4F1;SHTN1;KLF7;MAP2;CDHR1;MAP1B;BTBD3;MAP1A;S100A6;TRIM46;MAP6;SLITRK5;NRCAM;CTNNA2;DRD2;PAK3;DSCAML1
GO_Biological_Process_2023,Axon Development (GO:0061564),26/99,1.8274408370931807e-10,1.0586973916226495e-07,0,0,5.506554720871999,123.47311522935225,APP;BRSK1;NREP;NEUROD1;NEUROD4;GRM7;CRTAC1;TRIM46;SLITRK5;NRCAM;CTNNA2;DRD2;PAK3;NTNG1;APLP1;NMNAT2;L1CAM;ISL1;POU4F1;SHTN1;KLF7;MAP1B;MAP1A;S100A6;DSCAML1;CDK5R1
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),32/146,2.5250958023798723e-10,1.2538904298674908e-07,0,0,4.351927199544997,96.17572816478514,APP;BRSK1;CNTNAP1;NRN1;NYAP1;SDC2;NYAP2;DOCK10;ALCAM;MAP2;BTBD3;FLRT1;TRIM46;MAP6;SLITRK5;NRCAM;CTNNA2;DRD2;PAK3;MNX1;NTNG1;APLP1;ISL1;POU4F1;SHTN1;KLF7;MAP1B;MAP1A;S100A6;TNIK;DSCAML1;GAS7
GO_Biological_Process_2023,Synapse Organization (GO:0050808),30/131,2.94104909708661e-10,1.277885832684132e-07,0,0,4.600632677375621,100.97047447575794,APP;PTPRS;PLXND1;DCTN1;NRXN1;ZDHHC2;CDH2;NRCAM;APBB2;DRD2;PAK3;SNCB;PPFIA4;PPFIA2;LRRC4B;SNCA;NTNG1;DSCAM;L1CAM;POU4F1;CACNB1;PTPRD;DNM3;CACNB2;CACNB3;PPFIBP2;NEDD4;PCDHB3;SDK2;ADGRL3
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),38/199,3.9564673067740104e-10,1.528075595371829e-07,0,0,3.6683426993986,79.42145140159731,GRIA1;GRIA2;CHRNA3;KCNA1;NRXN1;SLC1A2;GRIK1;GRIK2;CACNA1E;GLRA3;GRM4;GRM7;KIF5A;DLGAP1;NPTX1;NPTX2;SNCB;SLC18A2;SNCA;SYT5;GABBR2;CHRNB4;SLC12A4;DTNA;SYT1;GAD1;SYN2;CACNB1;CACNB2;CACNB3;DLG2;GLRB;SYT10;KCNQ3;AMPH;PCDHB3;ZACN;PAFAH1B1
GO_Biological_Process_2023,Axon Guidance (GO:0007411),31/149,1.8616842777939794e-09,6.471214549611873e-07,0,0,4.068760909961147,81.78935390878873,RET;ROBO2;PLXND1;NRXN1;NRXN3;EFNA5;ALCAM;RELN;DPYSL5;KIF5A;PLEKHG4B;TNR;NRCAM;FYN;NCAM1;PLXNC1;PLEKHG4;EPHA7;DSCAM;UNC5A;UNC5B;SEMA6D;UNC5C;L1CAM;NELL2;KLF7;NELL1;CNTN1;DSCAML1;RNF165;CDK5R1
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),26/123,2.6336793413731767e-08,8.322426718739238e-06,0,0,4.138787274138122,72.23135253516008,GRIA1;APP;GRIA2;GRIK5;GRIK3;GRIK1;GRIK2;BEGAIN;RIMS3;GRM4;RELN;CDH2;GRM7;GRM8;TMEM108;DLGAP1;NPTX1;DRD2;NPTX2;GRIA4;CHRNB4;SLC38A1;SYT1;SNCAIP;SLC4A8;NPTXR
GO_Biological_Process_2023,Central Nervous System Development (GO:0007417),43/283,4.0348567316849784e-08,1.1687634999447486e-05,0,0,2.7844484060402683,47.40721092991703,ROBO2;APP;SH3GL3;NDRG4;FOXG1;CHD7;ADAM22;GRIK1;MSI2;SPATA5;GBA2;UGT8;SNTG2;RELN;SCIN;CDH2;ZIC2;ADAM23;SIX3;NKX2-1;JHY;NRCAM;NPTX1;MNX1;SOX4;EPHA7;SLC6A17;CADM2;APLP1;PROX1;ZIC5;GRIN2C;MEIS2;MEIS1;CNTN1;DCX;TAGLN3;MELTF;DSCAML1;MDGA1;CDK5R2;ADGRL3;CDK5R1
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),31/172,6.487264636017433e-08,1.734594759599738e-05,0,0,3.400862373648123,56.287128245560375,BRSK1;ASCL1;ASCL2;RNF112;RELN;WNT11;FUT9;SIX3;TRIM46;NRCAM;DISC1;WNT4;MYEF2;AUTS2;DTNB;NAV1;POU3F2;PHOX2B;PTPRD;NELL1;TUBB2B;ARTN;LHX2;MAP1B;DCX;INSM1;MDGA1;ITM2C;PAFAH1B1;ADGRL3;CDK5R1
GO_Biological_Process_2023,Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),11/28,3.850646340758446e-07,9.560604771768826e-05,0,0,9.910995770857362,146.3839668338965,SYT5;SYT4;RPH3AL;SYT1;KCNB1;SYT11;STXBP1;SYT10;DOC2B;SYT13;SYT9
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),24/124,5.055802774100746e-07,0.00011715980295182796,0,0,3.699091659785301,53.627799595840536,RET;ROBO2;PLEKHG4;EPHA7;DSCAM;SEMA6D;NRXN1;NRXN3;UNC5C;EFNA5;L1CAM;NELL2;KLF7;NELL1;RELN;DPYSL5;KIF5A;PLEKHG4B;CNTN1;TNR;NRCAM;FYN;DSCAML1;CDK5R1
GO_Biological_Process_2023,Regulation Of Regulated Secretory Pathway (GO:1903305),12/35,6.43570031204233e-07,0.00013981558927911962,0,0,7.995449536065982,113.98500741470713,SYT5;SYT4;RPH3AL;PREPL;RIMS3;SYT1;RAB15;SYT11;SYT10;DOC2B;SYT13;SYT9
