Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Protein Localization To Cell Periphery (GO:1990778),39/142,4.942146133082041e-08,0.00014465371442573703,0,0,3.0815748439587347,51.84096709959034,RAB3B;RAB3C;SPTBN4;PLEKHF1;CD81;RAB3D;ZDHHC23;TSPAN33;SLC9A3R2;AP4M1;EFR3A;RAB40B;RAB40C;CDH1;P2RY1;MAP7;INPP5K;FLOT2;TMED2;PACSIN1;FYB2;JUP;KCNB1;PTCH1;SEC16A;TTC7B;EMP2;ANK3;TSPAN15;CACNB3;EHD3;TSPAN14;EHD4;RABEP1;PACS1;PKP3;FGF13;RAMP1;CRB3
GO_Biological_Process_2023,Axon Guidance (GO:0007411),40/149,6.63549148741913e-08,0.00014465371442573703,0,0,2.9869734908003447,49.36943863715037,EPHB6;NOTCH1;EPHA10;SEMA3C;ARHGEF25;LRTM2;SEMA3F;IGSF9;EFNB2;EFNB1;ALCAM;OPHN1;KIF5C;KIF5A;PLEKHG4B;DAG1;PLXNA2;SLIT1;RAC3;FYN;EMB;NEO1;SCN1B;PLXNA4;EPHB3;PLXNA3;EPHA4;SEMA6C;SEMA4A;EPHA7;UNC5A;EPHA8;WNT5A;L1CAM;EFNA1;NFASC;NFIB;ANOS1;PLXNB1;CNTN4
GO_Biological_Process_2023,Protein Localization To Plasma Membrane (GO:0072659),37/137,1.7242201698563405e-07,0.00025058666468578814,0,0,3.008993103448276,46.86001481920351,RAB3B;RAB3C;SPTBN4;PLEKHF1;CD81;RAB3D;ZDHHC23;TSPAN33;SLC9A3R2;EFR3A;RAB40B;RAB40C;CDH1;P2RY1;MAP7;INPP5K;FLOT2;TMED2;PACSIN1;FYB2;JUP;KCNB1;PTCH1;SEC16A;TTC7B;EMP2;ANK3;TSPAN15;CACNB3;EHD3;TSPAN14;EHD4;PACS1;PKP3;FGF13;RAMP1;CRB3
GO_Biological_Process_2023,Protein Localization To Membrane (GO:0072657),45/192,7.482161193744724e-07,0.0006462545988451688,0,0,2.4920655848864697,35.15201544834663,RAB3B;RAB3C;SPTBN4;PLEKHF1;CD81;RAB3D;ZDHHC23;TSPAN33;SLC9A3R2;AP4M1;EFR3A;RAB40B;RAB40C;CDH1;P2RY1;MAP7;INPP5K;FLOT2;TMED2;BID;RAB6B;PACSIN1;FYB2;JUP;KCNB1;PTCH1;SEC16A;TTC7B;EMP2;ANK3;TSPAN15;CACNB3;EHD3;TSPAN14;EHD4;RABEP1;PACS1;CPE;PICK1;PKP3;FGF13;AGRN;SHANK3;RAMP1;CRB3
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),82/434,7.954924421483886e-07,0.0006462545988451688,0,0,1.9069462227912928,26.781733398879037,PTPRT;MIA3;PTPRJ;ING1;CX3CL1;ARHGAP4;AMOT;PPP3CA;CDH1;SIN3A;FAM110C;RACK1;DAG1;PHACTR1;AMH;TMSB10;ARPIN;SEMA6C;EPHA4;EDN1;WNT5B;APLP2;TPM1;SRCIN1;RHOD;ADRA2A;TIAM1;CLDN4;TMEFF2;CEACAM1;CLDN3;ADAM15;TMSB15A;SPATA13;ITGA6;EPHA1;ENG;SMIM22;CAMK2B;GRB7;CD151;NOTCH1;SEMA3C;MAZ;PDGFB;TWIST1;NEDD9;PRKX;SEMA3F;FOXO3;FAM83H;PODXL;TP53INP1;ZNF703;GNA12;NKX2-1;PLXNA2;MGAT3;PTK2B;FYN;RFFL;PLXNA4;SASH1;PLXNA3;MAP4K4;SEMA4A;CARMIL2;XBP1;ACE;JAG1;RCC2;LAMB1;SORL1;MAPK15;COL1A1;TJP1;CAMSAP3;F2RL1;PLXNB1;EPPK1;AMOTL1;OGT
GO_Biological_Process_2023,Axonogenesis (GO:0007409),44/188,1.0301055938858984e-06,0.0006462545988451688,0,0,2.4867261172611728,34.28163136030191,EPHB6;SPTBN4;BRSK2;NOTCH1;HSP90AB1;EPHA10;SEMA3C;ARHGEF25;ATL1;LRTM2;SEMA3F;IGSF9;EFNB2;EFNB1;OPHN1;KIF5C;KIF5A;PLEKHG4B;DAG1;SLIT1;FYN;EMB;NEFH;NEO1;SCN1B;EPHB3;PLXNA3;EPHA4;SEMA6C;SEMA4A;EPHA7;HSP90AA1;EPHA8;APLP2;APLP1;WNT5A;ANK3;L1CAM;BAIAP2;EFNA1;NFASC;MAP1B;ANOS1;CNTN4
GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),32/118,1.0375647229165557e-06,0.0006462545988451688,0,0,3.0214636227864307,41.63164201681074,DDR1;CAMK2B;NEDD9;CX3CL1;STYXL1;CUX2;CUX1;PLXNA2;GPC2;PTK2B;SCN1B;MARK2;PLXNA4;PLXNA3;PROM2;FZD1;CARMIL2;CDKL5;WNT5A;CBFA2T2;PTPRD;TIAM1;FES;PTK7;LRRC7;CAPRIN1;IL1RAPL1;ROR1;PLXNB1;ITGA6;PRKD1;TOX
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),41/172,1.437660714798929e-06,0.0007835250895654163,0,0,2.545479797891006,34.24304984731329,BRSK2;RTN1;WNT2B;SIX1;ASCL1;SH3RF1;NRBP2;OPHN1;SIX4;ERBB2;SPOCK1;KIAA0319;NEO1;MARK2;WNT3;MARK1;FZD1;CDKL5;WNT5B;DTNB;IRX3;WNT7B;WNT5A;IRX4;FZD8;NAV1;THOC2;WNT9A;EML1;RUNX1;PTPRD;SNPH;MAP1B;NOVA2;IL1RAPL1;ANOS1;MAPT;INSM1;ASTN2;FGF13;FGFR1
GO_Biological_Process_2023,Negative Regulation Of Cell Migration (GO:0030336),39/163,2.3286777418474542e-06,0.0011281149949394,0,0,2.5566557308908453,33.160361584801095,PTPRT;LRP1;TACSTD2;NEDD9;MIA3;PTPRJ;FOXO3;ING1;CX3CL1;ARHGAP4;ADGRG1;CDH1;SIN3A;ARHGDIB;MARVELD3;TP53INP1;DAG1;NKX2-1;AMH;ARPIN;EPHA4;JAG1;TPM1;MCC;MAPK15;TMEFF2;COL3A1;CLDN3;ADAM15;EVL;EPPK1;ADTRP;CALR;EPHA1;TRIB1;PHLDB2;OGT;PFN2;ENG
GO_Biological_Process_2023,Negative Regulation Of Cell Differentiation (GO:0045596),46/207,2.7334034684883927e-06,0.0011917639122609,0,0,2.3251549927450204,29.785149504194464,FOXA1;NOTCH1;HPN;TWIST1;DTX1;ASCL1;DLL1;HDAC9;PTBP1;HOXA9;RANBP3L;BCL7A;CCDC85B;CHADL;MYB;NKX2-1;LEO1;TUNAR;ENPP1;PTK2B;NELFB;HES1;SOX9;SOX4;TRPM4;MARK1;TBX1;EPHA4;JAG1;ACTL6B;PTCH1;ZBTB16;WNT5A;SORD;WNT9A;IL17RD;SMAD6;VASN;OVOL2;MAD2L2;SKI;EFNA1;DISP3;PDCD4;CALR;CNTN4
GO_Biological_Process_2023,Neuron Projection Guidance (GO:0097485),32/124,3.342089791414113e-06,0.0012699252179218,0,0,2.8234543278819304,35.60069353893651,EPHB6;NOTCH1;EPHA10;SEMA3C;ARHGEF25;LRTM2;SEMA3F;IGSF9;EFNB2;EFNB1;OPHN1;KIF5C;KIF5A;PLEKHG4B;DAG1;SLIT1;FYN;EMB;NEO1;SCN1B;EPHB3;PLXNA3;EPHA4;SEMA6C;SEMA4A;EPHA7;EPHA8;WNT5A;L1CAM;EFNA1;NFASC;CNTN4
GO_Biological_Process_2023,Phosphorylation (GO:0016310),79/429,3.49520702180313e-06,0.0012699252179218,0,0,1.8452910052910048,23.18445384315286,EPHB6;PRR5;PRAG1;MAST2;LRRK1;MAST1;TESK2;PRKAG2;HK1;GNPTAB;AKT3;MLST8;PDK3;PIM3;MAP3K9;MAP3K6;EPHB3;EPHA4;EPHA7;CDKL5;SYK;DAPK1;EPHA8;DAPK2;DAPK3;LMTK3;CSNK1E;PASK;DGKZ;PRKAR1B;INCENP;DGKQ;PICK1;FAM20C;ERG;TRIB1;SGK2;CAMK2B;CERKL;BRSK2;PRKAA2;EPHA10;PDGFB;STK39;WNK4;ACVR1B;PRKCZ;TTBK1;CAMKK2;IRAK1;GRK6;ERBB2;PTK2B;CSK;FYN;FNIP2;IP6K3;MARK2;MAP4K4;PAK4;MARK1;CDK19;NEK6;TNK2;TNK1;LIMK1;BMX;DCLK1;CLK3;HIPK2;MEX3B;TOLLIP;ADM2;WNK2;STK17B;PKN1;BMPR1B;CDK14;FGFR1
GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),35/144,5.172895595759304e-06,0.0017349095998085,0,0,2.6075990442195933,31.73989882774956,HIP1;NEDD9;TTN;MYO6;RAC3;PRSS8;GAS2L1;CGNL1;ZBED3;CARMIL2;MARCKSL1;TPM1;SHROOM2;COBL;SHROOM3;EMP2;BAIAP2;CD2AP;RFLNA;MAD2L2;MYO1E;MARCKS;MYO1B;SH3D21;MYO5B;MYO5C;ELMO1;FAT1;SPIRE2;CDC42EP2;HCLS1;ELMO3;EVL;DBN1;MYO1G
GO_Biological_Process_2023,Positive Regulation Of miRNA Transcription (GO:1902895),16/43,6.751457095925466e-06,0.0021025966384453,0,0,4.79282196586386,57.0621507137181,FOXA1;EGR1;JUN;SPI1;PDGFB;MRTFB;FOS;FOXO3;GATA2;RELA;APLN;GNL3;MYC;ATOH8;MYB;TP53
GO_Biological_Process_2023,Vesicle Cytoskeletal Trafficking (GO:0099518),15/39,8.142451672850625e-06,0.0023667392862419,0,0,5.0534820209376425,59.21882091781681,SYT4;BICDL1;BICDL2;FNBP1L;TANC2;MYO1E;MYO1B;MYO5B;MYO6;MYO5C;KIF1A;CDR2L;DYNC1I1;PPFIA2;MYO1G
GO_Biological_Process_2023,Regulation Of miRNA Transcription (GO:1902893),19/59,1.1095070298432045e-05,0.0030008526593535,0,0,3.844186046511628,43.85835576083759,FOXA1;EGR1;JUN;SPI1;MRTFB;PDGFB;FOS;FOXO3;GATA2;RELA;GNL3;APLN;NCOR2;NFIB;MYC;MYB;ATOH8;SOX9;TP53
GO_Biological_Process_2023,Regulation Of Microtubule Cytoskeleton Organization (GO:0070507),15/40,1.1700572295644742e-05,0.0030008526593535,0,0,4.8510696404187525,55.0881297960564,PATJ;PRKAA2;FRMPD2;STMN3;CAMSAP3;STMN1;MAP6D1;TRIM36;MAPRE3;TPPP;MAPT;GAS2L1;MPDZ;PHLDB2;MARK2
GO_Biological_Process_2023,Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232),12/28,1.803679454685168e-05,0.004368912456904,0,0,6.058636363636364,66.17907114271907,TJP1;TMEFF2;STMN1;TACSTD2;RHPN1;INPP5K;ARHGAP28;RHPN2;ARHGAP6;PHLDB2;SHANK3;CGNL1
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),86/500,2.055064347036379e-05,0.0047158318700413,0,0,1.6975972659640703,18.32151932730742,EPHB6;DDR1;PRAG1;MAST2;LRRK1;MAST1;TESK2;PRKAG2;PKD1;EEF2K;AKT3;PDK3;PIM3;MAP3K9;MAP3K6;AMH;EPHB3;EPHA4;EPHA7;CDKL5;SYK;DAPK1;EPHA8;DAPK2;DAPK3;LMTK3;CSNK1E;PASK;PRKAR1B;INCENP;DGKQ;ULK3;PICK1;FAM20C;PRKD1;ERG;EPHA1;TRIB1;SGK2;CAMK2B;BRSK2;PRKAA2;PNCK;EPHA10;PDGFB;STK39;WNK4;PRKX;ACVR1B;PRKCZ;TTBK1;CAMKK2;IRAK1;GRK6;ERBB2;PTK2B;CSK;FYN;FNIP2;IP6K3;MARK2;MAP4K4;PAK4;MARK1;SRPK3;CDK19;NEK6;TNK1;LIMK1;BMX;MAPK15;DCLK1;CLK3;MAPK12;HIPK2;MEX3B;SBK1;FES;ADM2;WNK2;STK17B;ATP13A2;PKN1;BMPR1B;CDK14;FGFR1
