Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),30/67,3.515800447424545e-13,1.4984341506923411e-09,0,0,7.217948201554759,206.9843294131789,MVK;INSIG1;LCAT;MSMO1;HMGCR;CLN8;GBA2;TM7SF2;NSDHL;PIP4P1;CYP11A1;APOE;SCARF1;SULT2A1;FDFT1;STARD3;HMGCS1;ABCA5;CYP51A1;DHCR24;LSS;NR0B2;CYP27A1;SQLE;SOAT1;CYP11B2;CYP11B1;FDX1;MVD;DHCR7
GO_Biological_Process_2023,Sterol Metabolic Process (GO:0016125),23/60,7.942308296805091e-09,1.6925058980491645e-05,0,0,5.514583890821514,102.85284542576404,STARD3;ABCA5;FAXDC2;CYP51A1;LCAT;MSMO1;HMGCR;CLN8;GBA2;NR0B2;CYP27A1;SQLE;NSDHL;PIP4P1;SOAT1;CYP21A2;CYP11A1;CYP11B2;CYP4V2;CYP11B1;FDX1;APOE;SULT2A1
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),15/28,1.3450324364882062e-08,1.910842748104245e-05,0,0,10.209376422394174,185.03741941324043,MVK;HMGCS1;FAXDC2;INSIG1;CYP51A1;MSMO1;DHCR24;HMGCR;LSS;TM7SF2;SQLE;NSDHL;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),14/25,1.93406922175446e-08,2.060750755779377e-05,0,0,11.2569559568081,199.93540887827083,MVK;HMGCS1;INSIG1;CYP51A1;MSMO1;DHCR24;HMGCR;LSS;TM7SF2;NSDHL;SC5D;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),13/24,1.072564134413808e-07,9.1425366817433e-05,0,0,10.447738468428124,167.66576122926068,MVK;HMGCS1;INSIG1;CYP51A1;DHCR24;MSMO1;HMGCR;LSS;TM7SF2;NSDHL;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),50/232,2.5081499751025776e-07,0.0001781622532314531,0,0,2.450196567105749,37.23943560169173,MAPKBP1;TRAF3IP2;TRADD;IFIT5;RORA;ARRB2;EDA2R;UFL1;GJA1;LGALS1;CASP8;TRIM5;IKBKE;MAP3K7;TRIM22;WLS;ZDHHC13;IRAK4;SIRT1;TNFRSF1A;CARD19;TRAF6;TRIM13;TLR6;ALPK1;SQSTM1;OPTN;BIRC2;PRKN;GSTP1;BCL10;TANK;MIER1;PLCG2;S100A13;RIPK1;LURAP1;NDFIP2;STAT1;NR1H4;TNFRSF10B;NR1D1;CFLAR;BST2;PER1;PINK1;VAPA;TRIM38;TRIM32;TRIM34
GO_Biological_Process_2023,Lipid Biosynthetic Process (GO:0008610),23/71,2.958962780910672e-07,0.00018015856246058977,0,0,4.248215759075908,63.864518685408434,AGPAT5;SREBF1;PCYT2;ACSS2;MVK;HSD3B2;OXSM;CYP51A1;HMGCR;CLN8;LSS;PRLR;ACACB;ACSF3;AGPAT4;CYP17A1;MLXIPL;CYP21A2;GPAT4;FDXR;MVD;FADS1;FDFT1
GO_Biological_Process_2023,Secondary Alcohol Metabolic Process (GO:1902652),18/47,3.393767426154801e-07,0.00018080295962839704,0,0,5.495172413793103,81.8569400907412,STARD3;ABCA5;IDH1;LCAT;CLN8;GBA2;NR0B2;CYP27A1;SQLE;NSDHL;PIP4P1;SOAT1;CYP11A1;CYP11B2;CYP11B1;FDX1;APOE;SULT2A1
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),48/231,1.317877907232374e-06,0.0006240884045138198,0,0,2.336858539792104,31.639867598824186,DGKG;MAPKBP1;GSTP1;PEBP1;RORA;IFI35;ARRB2;TANK;DUSP16;PBLD;ARHGAP12;SPRED2;NUAK1;SPRED1;DEPTOR;CASP8;PPP2R1A;CCN3;RIPK1;SLIT2;DUSP4;MINAR1;DUSP5;UBE2B;STAT1;MAGI2;NR1H4;ATP2B4;NR1D1;MAPK14;SIRT1;CYLD;PER1;PINK1;PDE10A;BANK1;VEPH1;CARD19;DLG5;DDIT4;PPIF;MDM2;NF1;SPRY3;GPD1L;DEPDC5;PPARA;EPHA2
GO_Biological_Process_2023,Regulation Of Cellular Metabolic Process (GO:0031323),16/45,4.769403801769775e-06,0.0019390949026022,0,0,4.879778167157172,59.793333358122034,PRKN;PID1;MBOAT7;PGAM1;CIDEB;VASH1;HIF1A;ING2;NUAK1;PINK1;NPC2;PDK4;BCO2;MPV17;PPARA;PDK2
