Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),112/434,1.4272786039515357e-10,4.470718774690818e-07,0,0,2.1269249011857707,48.217560584087735,SEMA5A;FAM107A;TNC;ARID4A;CIB1;ADARB1;CLDN1;MYLK;CDH5;FGF7;CDH1;AKT1;CYP1B1;ARPIN;PDGFRB;PDGFRA;WNT5B;LIMCH1;APLP2;TPM1;ACTN4;KRT5;CLDN4;CLDN3;SFRP2;SMO;ADAM15;SPATA13;ADAM9;DPEP1;EPHA1;EPHA2;CD151;NOTCH1;MAZ;CHRD;TWIST2;PDGFA;STC1;TWIST1;FOXO3;FAM83H;ZNF703;JAG1;UBE2I;FZD4;ARHGEF39;SMAD7;COL1A1;DAB2;CXCL12;STK24;TRIP6;PLXNB2;AMOTL2;AMOTL1;PTPRT;FLT1;MCTP1;TRADD;KIF14;MIA3;PTPRJ;LAMC2;SYNE2;PPP3CA;SIN3A;CTSH;ANXA1;MMP7;RHOC;RHOD;ADRA2A;RHOB;MMP14;TMEFF2;CEACAM1;TMSB15A;CDH11;PECAM1;SGK1;ENG;SMIM22;KANK1;TNXB;SEMA3C;HDAC1;LEF1;NEDD9;NEXN;SEMA3E;SEMA3F;THBS1;EGFR;PPM1F;NKD1;CLN3;GPNMB;TP53INP1;PTK2B;STX4;RFFL;SASH1;SEMA4A;CD74;SULF1;PODN;SORL1;MAPK15;TJP1;SH3RF2;MYO1C
GO_Biological_Process_2023,Cilium Assembly (GO:0060271),73/243,1.9320305854325052e-10,4.470718774690818e-07,0,0,2.612498681796132,58.434487852003365,SPAG17;LRGUK;CDC14A;IFT52;MCIDAS;WDR90;TCTN2;TCTN1;TEKT1;IQUB;TMEM107;DZIP1L;TEKT2;CFAP47;NEK1;CFAP46;CFAP43;CC2D2A;CEP290;SNAP29;CCDC39;DNAI2;DNAAF3;IFT140;DNAAF1;CCDC113;RFX3;KIF24;CSNK1D;LRRC43;KIF27;IFT88;RILPL2;IFT81;RILPL1;TMEM138;RP2;MAK;CFAP58;BBOF1;ZMYND10;ALPK1;CFAP54;IFT46;CCNO;CCDC40;SPACA9;NOTCH1;INTU;DNAH5;CFAP206;STK36;TMEM67;RAB23;POC1A;NPHP3;RILP;CFAP74;RSPH4A;CCDC13;CFAP70;FOXJ1;CPLANE2;TTC39C;TMEM231;EHD2;RSPH1;EHD4;VANGL2;DNMBP;TTLL3;MKS1;CLUAP1
GO_Biological_Process_2023,Regulation Of Angiogenesis (GO:0045765),64/205,4.3866412718789317e-10,6.767125268751899e-07,0,0,2.757308918731211,59.41252684514618,SEMA5A;FLT1;YJEFN3;PDE3B;TNFAIP3;BRCA1;TSPAN12;AQP1;CDH5;SPRED1;ADGRA2;ADAMTS1;ZC3H12A;STAB1;CYP1B1;CTSH;GLUL;HOXA5;PTGIS;ANXA3;CEMIP2;PDPK1;WNT5A;VASH2;EMP2;HSPG2;DCN;RUNX1;RHOB;CEACAM1;SFRP2;COL4A2;STIM1;PRKD2;PPARG;PRKD1;ANGPTL4;EPHA1;RAPGEF3;EPHA2;FOXC1;SP100;TWIST1;KLK3;SEMA3E;GATA2;THBS2;THBS1;RRAS;GPNMB;ERBB2;SASH1;PAK4;TGFB2;NIBAN2;JUP;TNFSF12;HIPK1;SULF1;KLF4;HIPK2;EFNA3;LRG1;RGCC
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),82/297,1.444167101536118e-09,1.6709013364772886e-06,0,0,2.3217098879036304,47.26010677174076,ARHGAP11A;ARHGAP8;JPT2;WWC1;DOCK8;RASGRF2;FAM13A;WWC2;ARHGAP39;ARHGAP6;PREX2;PYCARD;PREX1;AKAP13;STK11;SPRED1;LBH;CHEK2;AKT1;CAPN3;ITGAV;KMT5A;FBXO9;VAV3;PRMT5;ARHGEF10;RALBP1;USP7;VWF;PDPK1;DAPK2;SWAP70;WNT5A;PLEKHG6;ARHGEF19;RHOD;MLF1;MOB3B;OVOL2;ARHGAP45;TTI1;CEACAM1;OBSCN;TRAF4;SPATA13;PRKD2;ARHGEF1;RHOU;EZR;SGK1;DOCK2;TELO2;ARHGEF5;RAPGEF3;SGMS1;AKAP7;ARHGAP18;ARHGAP15;AGER;EGFR;STYXL1;AURKB;STK3;AURKA;FGD4;RRAS;PAK6;GPAT3;ECT2;FAM83D;RFFL;PAK4;NEK8;WWTR1;STARD13;ARHGAP29;ARHGAP27;HIPK2;ARHGAP30;DNMBP;TAOK3;NOP53
GO_Biological_Process_2023,Protein Autophosphorylation (GO:0046777),51/162,1.841983721178173e-08,1.7049401323225173e-05,0,0,2.783072293211034,49.56606569287415,DDR1;SMG1;FLT1;STK11;EEF2K;CHEK2;RB1CC1;STK16;AKT1;NEK2;PIM3;EPHB4;EPHB3;PDGFRB;PDGFRA;DAPK1;PDPK1;DAPK2;PASK;MELK;MAK;FAM20C;PRKD2;PRKD1;EPHA1;STK39;AURKB;EGFR;AURKA;CAMKK2;MKNK1;ERBB2;MKNK2;MAP3K20;PTK2B;MARK2;MAPK3;MAP3K3;NEK6;TNK1;EIF2AK4;MAPK15;CLK2;STK24;TAOK3;WNK2;STK17B;TAOK2;MAP3K13;FGFR2;MAP3K11
GO_Biological_Process_2023,Cilium Movement (GO:0003341),26/59,3.1763192815959656e-08,2.40926156371202e-05,0,0,4.751998119417019,82.04304640888142,SPAG17;DNAH1;SPEF2;DNAH7;DNAH5;DNAH9;CFAP206;TTC29;TEKT1;HYDIN;TEKT2;ROPN1L;SPA17;DNAI1;CCDC39;DNAI2;DNAH11;RSPH4A;CFAP73;DNAAF1;CFAP70;CFAP100;TTLL3;CFAP54;CFAP53;CCDC40
GO_Biological_Process_2023,Positive Regulation Of Cell Migration (GO:0030335),73/272,4.068754856980038e-08,2.40926156371202e-05,0,0,2.2279684546792766,37.91410499783655,SEMA5A;DOCK5;FLT1;TRADD;FAM107A;MIA3;CIB1;LAMC2;CLDN1;SYNE2;MYLK;PPP3CA;CDH5;GLIPR2;CTSH;SOX9;PDGFRB;PDGFRA;MMP7;WNT5B;TNFRSF18;ACTN4;RHOC;RHOD;ADRA2A;CLDN4;MMP14;CLDN3;SMO;TMSB15A;PECAM1;ADAM9;EPHA1;KIF20B;DOCK1;EPHA2;SMIM22;CD151;NOTCH1;SEMA3C;MAZ;LEF1;TWIST2;PDGFA;TWIST1;NEDD9;SEMA3E;SEMA3F;THBS1;EGFR;PPM1F;FAM83H;GPNMB;RAB25;ZNF703;PTK2B;STX4;RREB1;S100A11;SEMA4A;TGFB2;UBE2I;SMURF2;FZD4;ARHGEF39;FN1;COL1A1;TJP1;SH3RF2;DAB2;CXCL12;MYO1C;TRIP6
GO_Biological_Process_2023,Cilium Organization (GO:0044782),64/228,4.513845672798035e-08,2.40926156371202e-05,0,0,2.367405289492494,40.04118335639897,CCP110;TTC29;CDC14A;IFT52;CATIP;MCIDAS;WDR90;TCTN2;TCTN1;TEKT1;IQUB;TMEM107;DZIP1L;TEKT2;CFAP47;NEK1;CFAP43;CC2D2A;CEP290;SNAP29;DNAI2;IFT140;DNAAF1;CCDC113;RFX3;KIF24;KIF27;IQCG;IFT88;RILPL2;IFT81;RILPL1;TMEM138;RP2;MAK;CFAP58;MNS1;ALPK1;CFAP54;IFT46;CCNO;NOTCH1;INTU;DNAH5;NEDD9;AURKA;SLC9A3R1;STK36;TMEM67;RAB23;POC1A;NPHP3;RILP;CFAP70;FOXJ1;CPLANE2;TTC39C;TMEM231;EHD2;EHD4;DNMBP;TTLL3;MKS1;CLUAP1
GO_Biological_Process_2023,Phosphorylation (GO:0016310),103/429,4.685253689154749e-08,2.40926156371202e-05,0,0,1.9252507688168337,32.491033849877056,EPHB6;DGKD;DGKA;TESK2;STK11;GNPTAB;CHEK2;AKT1;NEK1;NEK2;PIM3;NEK3;MAP3K6;MAP3K5;EPHB3;MORC3;EPHA6;DAPK1;DAPK2;IGFBP3;PRKCD;LMTK3;CSNK1D;PASK;HASPIN;MELK;MAK;SHPK;PRKD2;ERG;TRIB1;CDKL1;CERKL;STK39;WNK4;CDCA8;STK3;GRK3;FGGY;TKFC;GRK2;STK36;GRK6;MAP3K20;MARK2;CDK17;CDK19;TGFB2;PLK2;NEK6;PLK1;TNK1;EIF2AK4;CLK3;CLK2;GNPTG;STK24;WNK2;CDK1;MAP3K13;BMPR1B;MAP3K11;SMG1;LRRK1;LIMD1;IKBKB;RB1CC1;TLK1;PDPK1;TGFBR2;ZAP70;LATS2;INCENP;PICK1;BIRC5;FAM20C;SGK1;SGK2;PKN3;AURKB;CAMKK2;AURKA;MKNK1;ERBB2;MKNK2;PAK6;PTK2B;FNIP2;PAK4;MAPK3;CSNK1A1;HIPK1;HIPK2;BCKDK;SNRK;TAOK3;STK17A;STK17B;TAOK2;NEK10;TAF7;CAMK1;NEK11
GO_Biological_Process_2023,Cellular Component Assembly (GO:0022607),70/260,6.700382015680138e-08,3.100936796856768e-05,0,0,2.2363896848137537,36.94183924239197,DET1;SPAG17;LRGUK;ARL6IP1;SYCP2;FAM107A;IL1RAP;EPS8;BAIAP2L1;OPHN1;HYDIN;CAPN3;CFAP46;SOX9;NEFH;TEAD2;MAGI1;CARD10;DNAAF1;WNT5A;AXIN1;SHROOM2;PAWR;DNAJB13;SHROOM1;LRRC43;RHOD;CD2AP;TAPBP;PKP1;TLCD1;LCP1;EZR;CCDC40;SPACA9;YAP1;TUBGCP2;PDGFA;NEDD9;CAPG;CFAP206;CORO1B;THSD4;SLC9A3R2;LIMA1;SLC9A3R1;STK36;REPS2;LPXN;PTK2B;SNX9;DMD;HES1;SPTBN1;FZD1;CD74;CFAP74;CREBBP;RSPH4A;FOXJ1;BAIAP2;GRHL2;VMP1;OCLN;RSPH1;TFAP4;TTLL3;CAPZA1;FAS;TRIP13
