Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),26/273,9.396093843908986e-16,1.447938061346375e-12,0,0,9.164943609022556,317.1168318401363,GRIA2;BRSK1;SNAP25;CHRNA3;NRXN1;CACNA1B;GRIK1;GRIK2;DBH;SLC6A2;CACNA1E;GRM7;PENK;KIF5A;APOE;SLC18A2;GRIA4;SYT5;UNC13A;PTPRN2;SYT1;NSG1;TH;KCNQ2;RIMBP2;KCNK3
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),18/199,6.818434472691552e-11,5.253603761208842e-08,0,0,8.388312059439894,196.3603707312681,SYT5;GRIA2;SNAP25;CHRNA3;SYT1;NRXN1;CACNA1B;GRIK1;GRIK2;DBH;SLC6A2;CACNA1E;GRM7;KCNQ2;PENK;KIF5A;SLC18A2;KCNK3
GO_Biological_Process_2023,Nervous System Development (GO:0007399),24/433,1.220497984789484e-09,6.269291315201983e-07,0,0,5.021788519375988,103.06722210767798,APC2;CHRNA3;ACTL6B;NRXN1;APLP1;CRMP1;GRIK1;NRG1;PROX1;L1CAM;ASCL1;GFRA2;PHOX2B;ROBO1;NFASC;FGF14;ACVR1C;ADGRB2;CDH2;SPOCK2;KCNQ2;NEURL1;NRCAM;SCN2A
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),8/41,3.565371260890191e-08,1.3735592782579462e-05,0,0,19.751565239168546,338.727740893621,SYT5;SNAP25;SYT4;UNC13A;SYT1;SYT11;DOC2B;CPLX2
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),12/123,4.716497785081538e-08,1.45362461736213e-05,0,0,8.920735861912332,150.4893724995176,GRIA2;UNC13A;CDH2;SYT1;GRM7;CACNA1B;TMEM108;GRIK1;GRIK2;CPLX2;GRIA4;BEGAIN
GO_Biological_Process_2023,Glucocorticoid Biosynthetic Process (GO:0006704),4/5,1.1801032021997295e-07,3.0308983909829714e-05,0,0,321.1219512195122,5122.695922005137,CYP11A1;CYP21A2;CYP11B1;CYP17A1
GO_Biological_Process_2023,Neurotransmitter Transport (GO:0006836),8/52,2.494204948131881e-07,5.49081403581604e-05,0,0,14.805409466566491,225.10330554215855,SNAP25;BRSK1;UNC13A;PTPRN2;SYT1;NRXN1;SLC6A2;SLC18A2
GO_Biological_Process_2023,Calcium Ion Import Across Plasma Membrane (GO:0098703),7/37,3.277808798868372e-07,6.002253792120372e-05,0,0,18.935528120713307,282.72486501353296,SLC24A2;SCN9A;CACNA1B;SCN2A;CACNA1E;CLU;SCN3A
GO_Biological_Process_2023,Noradrenergic Neuron Differentiation (GO:0003357),4/6,3.505534336734805e-07,6.002253792120372e-05,0,0,160.5528455284553,2386.4177899700576,HAND2;INSM1;PHOX2B;PHOX2A
GO_Biological_Process_2023,Calcium Ion-Regulated Exocytosis Of Neurotransmitter (GO:0048791),5/14,5.353471528514373e-07,8.249699625440649e-05,0,0,44.7641723356009,646.4103346373882,SYT5;SYT4;UNC13A;SYT1;SYT11
