Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Nervous System Development (GO:0007399),100/433,4.503021131159825e-20,1.7165516551981254e-16,0,0,3.286986620319954,146.42523955821017,CNTFR;SH3GL3;PLXND1;FGF5;DPYSL4;DPYSL5;DPF1;MNX1;SOX4;SH3GL2;CDON;RBFOX1;SRRM4;DSCAM;APLP1;TMOD2;POU3F2;OLFM1;ADGRB2;SCN8A;ADGRB1;KCNQ2;TAGLN3;CHRNA3;C3ORF70;DLX5;DLX6;MST1R;EFNA5;NEUROD1;UGT8;SNTG2;SCIN;ST8SIA4;DRD2;ST8SIA2;INHBA;L1CAM;ARHGAP26;DCLK1;PHOX2B;SDK1;FGF14;PCDHB2;ARTN;DCHS1;PCDHB3;MELTF;SCN2A;FGF13;SDK2;ROBO2;TENM1;PPP1R17;NRSN1;CHD7;SLC2A1;GRIK1;PKD1;ROBO1;ZIC2;ENC1;APC2;CHST8;ACTL6B;APAF1;NRG1;NAV1;NAV2;DCX;EVL;RAPGEF5;DSCAML1;MET;SHANK3;SHANK2;DCTN1;NRXN1;CRMP1;PTN;ASCL1;ACVR1B;RELN;ACVR1C;SLITRK6;SPOCK1;IGF2BP3;PCDH1;GDF11;MARCKSL1;SEMA4F;ZIC5;PCDHB11;POU4F1;NELL1;MARCKS;NFASC;GLRB;NEURL1;APBA2
GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),43/146,3.8720768727067543e-13,7.380178519379072e-10,0,0,4.4725320044677375,127.82413810212871,SPTBN4;CNTNAP2;BRSK2;CNTNAP1;NRN1;NYAP1;CTNND2;SDC2;ATL1;NYAP2;CELSR2;ALCAM;MAP2;FLRT1;SLITRK6;TRIM46;MAP6;SLITRK5;CTNNA2;DRD2;PAK3;MNX1;PACSIN1;PLXNA3;MAP4K4;NTNG1;EPHA4;APLP1;ANK3;MAPK8IP2;BAIAP2;ISL1;BMP7;POU4F1;DCLK1;SHTN1;MAP1B;ADGRB1;MAP1A;PLXNB1;DSCAML1;SHANK3;GAS7
GO_Biological_Process_2023,Chemical Synaptic Transmission (GO:0007268),62/273,1.3544238926979773e-12,1.422223288647562e-09,0,0,3.1647287040912127,86.48458230444996,GABRB3;SNAP25;GRIK5;KCNC4;GRIK3;GRIK1;GRIK2;DBH;SLC6A2;CRHBP;GRM4;GRM7;KIF5A;BSN;ERC2;SLC18A2;PPFIA3;CHRNB2;CHRNB4;UNC13A;SYN2;SYN1;CACNB3;KCNQ2;KCNQ3;AMPH;GRIA1;GRIA2;CHRNA3;STXBP1;KCNA1;CHRNA7;NRXN1;STXBP2;CACNA1B;LIN7A;CACNA1E;CPLX1;GLRA3;PENK;DRD2;SNCB;PDLIM4;GRIA4;SNCA;SYT5;GABBR2;DTNA;PTPRN2;HOMER1;SYT1;GAD1;NSG1;GRIN2C;PCDHB11;PCDHB2;GLRB;SYT10;RIMBP2;PCDHB3;ZACN;APBA2
GO_Biological_Process_2023,Axonogenesis (GO:0007409),49/188,1.492364416209404e-12,1.422223288647562e-09,0,0,3.7825242470322142,103.0006294325136,RET;ROBO2;DPYSL5;KIF5A;TNR;EPHA4;EPHA7;DSCAM;EPHA8;SEMA6D;APLP1;ANK3;ISL1;SHTN1;MAP1B;MAP1A;DSCAML1;SPTBN4;BRSK2;ARHGEF25;ATL1;NRXN1;NRXN3;EFNA5;IGSF9;EFNB2;RELN;PLEKHG4B;SLIT1;SLITRK6;TRIM46;SLITRK5;FYN;CTNNA2;DRD2;PAK3;PLXNA3;NTNG1;AUTS2;SEMA4C;SEMA4F;L1CAM;BAIAP2;POU4F1;NELL2;NELL1;NFASC;CNTN1;CDK5R1
GO_Biological_Process_2023,Neurotransmitter Secretion (GO:0007269),21/43,7.528240510394034e-12,5.7395305651244115e-09,0,0,10.140308148461903,259.71722043020765,SNAP25;RPH3AL;PTPRN2;UNC13A;SYT1;NRXN1;STXBP1;STXBP2;LIN7A;DOC2B;CPLX2;CPLX1;SYN2;SYN1;GRM4;PCLO;SYT10;PIP5K1C;PPFIA3;STX1A;SNCA
GO_Biological_Process_2023,Axon Guidance (GO:0007411),41/149,1.5267813963192803e-11,9.700151137948497e-09,0,0,4.061164582378489,101.14441735686816,RET;ROBO2;PLXND1;ARHGEF25;NRXN1;NRXN3;EFNA5;IGSF9;EFNB2;ALCAM;RELN;DPYSL5;KIF5A;PLEKHG4B;PLXNA2;SLIT1;TNR;RAC3;FYN;NCAM1;PLXNA4;PLXNA3;EPHA4;EPHA7;DSCAM;UNC5A;EPHA8;UNC5B;SEMA6D;SEMA4C;SEMA4F;L1CAM;NELL2;NELL1;GAP43;NFASC;CNTN1;PLXNB1;DSCAML1;RNF165;CDK5R1
GO_Biological_Process_2023,Modulation Of Chemical Synaptic Transmission (GO:0050804),36/123,3.820789068294744e-11,2.0806925611913662e-08,0,0,4.418736577657118,105.99656049325284,GRIA1;GRIA2;CLSTN2;CHRNA7;GRIK5;CLSTN1;CACNA1B;GRIK3;GRIK1;GRIK2;CPLX2;CPLX1;SLC8A2;BEGAIN;RIMS4;RIMS3;GRM4;RELN;GRM7;GRM8;TMEM108;DRD2;DLGAP3;GRIA4;CHRNB2;CHRNB4;SLC38A1;UNC13A;HOMER1;SYT1;MAPK8IP2;SNCAIP;DGKZ;SYN1;BAIAP3;NPTXR
GO_Biological_Process_2023,Signal Release From Synapse (GO:0099643),19/38,4.4471715565926444e-11,2.1190772467163953e-08,0,0,10.612565445026178,252.96289003674795,SNAP25;PTPRN2;UNC13A;SYT1;NRXN1;STXBP1;STXBP2;LIN7A;CPLX2;CPLX1;SYN2;SYN1;GRM4;PCLO;SYT10;PIP5K1C;PPFIA3;STX1A;SNCA
GO_Biological_Process_2023,Regulation Of Neuron Projection Development (GO:0010975),43/174,2.1953941569628931e-10,9.095964766608537e-08,0,0,3.5111486410412303,78.08615273554446,RET;CAMK2B;BRSK2;PTPRS;STMN2;SEZ6;CRMP1;PTN;ARHGAP44;EFNB2;RELN;FUT9;DPYSL3;TNR;GPC2;SPOCK1;KIF1A;CSMD3;CTNNA2;PAK3;PPFIA2;MARK1;NTNG1;EPHA4;CAMK1D;PAQR3;CBFA2T2;SRCIN1;TANC2;CCDC88A;FES;PTK7;LRRC7;KIF26A;NOVA2;ITGA6;ROR2;RAB17;TOX;SHANK3;DBN1;ITM2C;CDK5R1
GO_Biological_Process_2023,Synaptic Vesicle Exocytosis (GO:0016079),19/41,2.386139760390487e-10,9.095964766608537e-08,0,0,9.16389021101063,203.0367463325833,SYT5;SNAP25;SYT4;PRRT2;UNC13A;SYT1;DOC2B;CPLX2;CPLX1;SYT7;RIMS4;PCLO;RIMS3;SYT11;SYT10;PIP5K1C;STX2;STX1A;SNCA
GO_Biological_Process_2023,Synapse Organization (GO:0050808),36/131,2.7261488538252393e-10,9.447344937074377e-08,0,0,4.044851258581236,89.07960148997304,PTPRS;PLXND1;DCTN1;CTNND2;CHRNA7;NRXN1;PTPRF;SLC8A2;SLITRK6;APBB2;DRD2;PAK3;SNCB;PPFIA4;PPFIA3;PPFIA2;LRRC4B;SNCA;NTNG1;UNC13A;DSCAM;ANK3;L1CAM;PCDHB11;POU4F1;PTPRD;SDK1;CACNB3;LRFN4;PCDHB2;PTK7;PCDHB3;MAPT;SHANK3;SDK2;SHANK2
GO_Biological_Process_2023,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667),26/77,6.338503198391561e-10,2.013531182689053e-07,0,0,5.422920102620488,114.85315432806172,SPTBN4;BRSK2;ATL1;SDC2;CELSR2;MAP2;SLITRK6;TRIM46;MAP6;SLITRK5;CTNNA2;DRD2;PAK3;NTNG1;APLP1;ANK3;MAPK8IP2;BAIAP2;ISL1;POU4F1;SHTN1;CDHR1;MAP1B;ADGRB1;MAP1A;DSCAML1
GO_Biological_Process_2023,Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),15/28,1.4442145814517703e-09,4.234881526533961e-07,0,0,12.220858074021162,248.76412320754812,SYT5;SYT4;RPH3AL;SYT1;KCNB1;STXBP1;DOC2B;SYT13;SYT7;BAIAP3;SYT17;SCAMP5;SYT11;SYT10;STX1A
GO_Biological_Process_2023,Anterograde Trans-Synaptic Signaling (GO:0098916),45/199,1.8327945175243087e-09,4.990437643430475e-07,0,0,3.1253979334310107,62.874955320874726,GABRB3;GRIA1;GRIA2;SNAP25;CHRNA3;KCNA1;NRXN1;KCNC4;CACNA1B;GRIK1;GRIK2;DBH;SLC6A2;CACNA1E;CPLX1;GLRA3;GRM4;GRM7;PENK;KIF5A;BSN;SNCB;SLC18A2;SNCA;CHRNB2;SYT5;GABBR2;CHRNB4;DTNA;HOMER1;SYT1;GAD1;PCDHB11;SYN2;SYN1;CACNB3;PCDHB2;GLRB;SYT10;KCNQ2;KCNQ3;AMPH;PCDHB3;ZACN;APBA2
GO_Biological_Process_2023,Axon Development (GO:0061564),28/99,1.284391246181262e-08,3.26406628696198e-06,0,0,4.195272218103946,76.2297570115192,SPTBN4;BRSK2;ATL1;NEUROD1;NEUROD4;GRM7;CRTAC1;SLITRK6;TRIM46;SLITRK5;CTNNA2;DRD2;PAK3;NTNG1;APLP1;ANK3;NMNAT2;L1CAM;BAIAP2;ISL1;POU4F1;SHTN1;GAP43;MAP1B;MAP1A;MAPT;DSCAML1;CDK5R1
GO_Biological_Process_2023,Regulation Of Dendrite Development (GO:0050773),17/41,1.7026160769920038e-08,3.96111659963765e-06,0,0,7.506440054232035,134.27906405736198,CHRNB2;CHRNA3;CAMK1D;BCL11A;SDC2;SEZ6;COBL;PTN;BMP7;HECW2;NSMF;CSMD3;RAB17;KIAA0319;DBN1;MARK1;PACSIN1
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),42/192,1.7665000575508932e-08,3.96111659963765e-06,0,0,2.990188679245283,53.37989300704141,CNTNAP2;CNTNAP1;NYAP1;CTNND2;STMN2;USH1C;BICDL1;STMN4;FRY;NYAP2;NEUROD1;ATCAY;NEUROD4;GRM7;MAP2;STMN1;TMEM108;PAK3;RAB6B;MNX1;SH3GL2;PACSIN1;PLXNA3;MAP4K4;EPHA4;UNC5A;EPHA8;NMNAT2;L1CAM;BMP7;POU4F1;DCLK1;GPRIN3;SHTN1;GPRIN1;MAP1B;TBC1D24;PLXNB1;MAPT;SHANK3;GAS7;CDK5R1
GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),39/172,2.003864377788828e-08,4.2437394489616734e-06,0,0,3.128912628835184,55.4618638275216,ROBO2;TENM1;CRB1;PTPRS;TENM4;CELSR2;PKD1;IGSF9;PTPRF;ROBO1;IGSF21;ALCAM;MMP24;CDH22;PCDHA7;LRRC4B;NTNG1;DSCAM;CADM1;CADM2;L1CAM;PCDHB11;PTPRD;SDK1;CLDN4;LRFN4;PCDHB2;PTK7;CLDN7;CDH12;CDH13;ADGRL1;DCHS1;DSG2;PCDHB3;DSCAML1;SDK2;CDH18;NECTIN1
GO_Biological_Process_2023,Generation Of Neurons (GO:0048699),38/172,6.31227245597578e-08,1.2664411895884038e-05,0,0,3.023985952589991,50.13219854909206,BRSK2;RTN1;ASCL1;ASCL2;RNF112;RELN;WNT11;FUT9;SIX3;TRIM46;SPOCK1;DISC1;KIAA0319;MARK1;WNT4;AUTS2;DTNB;FZD8;NAV1;WNT9A;POU3F2;PHOX2B;CIT;PTPRD;NELL1;TUBB2B;ARTN;LHX2;TAFA3;MAP1B;NOVA2;DCX;MAPT;INSM1;FGF13;MET;ITM2C;CDK5R1
