Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cholesterol Metabolic Process (GO:0008203),31/67,7.093470949214683e-11,3.292789214625456e-07,0,0,5.59171888053467,130.67433933666092,MVK;INSIG1;LCAT;MSMO1;HMGCR;CLN8;TSKU;TM7SF2;NSDHL;PIP4P1;CYP11A1;APOE;LDLRAP1;SCARF1;SULT2A1;FDFT1;G6PD;HMGCS1;CYP51A1;DHCR24;LSS;ACLY;SQLE;SOAT1;CYP11B2;GLB1;CYP11B1;FDX1;MVD;DHCR7;PPARD
GO_Biological_Process_2023,Cholesterol Biosynthetic Process (GO:0006695),17/25,5.4607513500222e-10,1.043629967518966e-06,0,0,13.74892483171279,293.2407059480022,G6PD;MVK;HMGCS1;INSIG1;CYP51A1;MSMO1;DHCR24;HMGCR;LSS;TM7SF2;ACLY;NSDHL;GLB1;SC5D;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Sterol Biosynthetic Process (GO:0016126),18/28,6.7447003501872e-10,1.043629967518966e-06,0,0,11.64915824915825,245.99636821598563,G6PD;MVK;HMGCS1;FAXDC2;INSIG1;CYP51A1;MSMO1;DHCR24;HMGCR;LSS;TM7SF2;ACLY;SQLE;NSDHL;GLB1;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Lipid Biosynthetic Process (GO:0008610),30/71,2.164562820210908e-09,2.1545564079898825e-06,0,0,4.7482607858773065,94.73277613243404,AGPAT5;ACSS2;MVK;HMGCR;CLN8;ACACB;HSD17B8;CYP17A1;GPAT4;FDXR;MLYCD;FADS1;FDFT1;SREBF1;PCYT2;GGPS1;HSD3B2;ACSL1;OXSM;CYP51A1;LSS;PRLR;ACSF3;ACLY;MLXIPL;CYP21A2;FASN;NDUFAB1;MVD;LCP1
GO_Biological_Process_2023,Fatty Acid Beta-Oxidation (GO:0006635),24/49,2.344182554836316e-09,2.1545564079898825e-06,0,0,6.2214623172103485,123.62872510459648,ACADVL;ACOT8;ABCD3;ECHS1;ECI2;ETFDH;HSD17B4;CROT;ETFB;HSD17B10;MTLN;ACAT2;HADHB;HADHA;BDH2;CPT2;IVD;ECHDC2;ACAA1;ACAD11;ACADS;CRAT;PPARD;DECR1
GO_Biological_Process_2023,Secondary Alcohol Biosynthetic Process (GO:1902653),16/24,2.7848639482850704e-09,2.1545564079898825e-06,0,0,12.935327102803738,254.81387288965044,G6PD;MVK;HMGCS1;INSIG1;CYP51A1;DHCR24;MSMO1;HMGCR;LSS;TM7SF2;ACLY;NSDHL;GLB1;MVD;DHCR7;FDFT1
GO_Biological_Process_2023,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),64/231,7.1876663265716245e-09,4.766449583992212e-06,0,0,2.500719155522225,46.89073303777728,DGKG;MAPKBP1;MSTN;PDCD6;WWC2;PTEN;PEBP1;TNFAIP3;CIB1;RORA;IFI35;PIK3CB;DUSP16;IGF1R;SPRED1;DEPTOR;CASP8;PPP2R1A;GPER1;ZC3H12A;WWC3;CCN3;CGNL1;DUSP4;MINAR1;DUSP5;ENDOG;DUSP3;SLC2A10;SORD;SIRT1;BANK1;CARD19;DDIT4;PPIF;PPARA;VGLL4;EPHA2;NLRX1;PHLPP1;MGRN1;SRC;GSTP1;ITPR1;NOL3;TANK;PBLD;SLC9A3R1;SLIT2;LYN;STAT1;NR1H4;ATP2B4;CYLD;PINK1;PDE10A;VEPH1;DLG5;MDM2;MKRN2;SPRY3;GPD1L;CD22;BCL2L2
GO_Biological_Process_2023,Regulation Of Cellular Metabolic Process (GO:0031323),22/45,1.1374792658914005e-08,6.600223440334851e-06,0,0,6.194992425106292,113.31797193095076,PRKN;PID1;MBOAT7;PGAM1;CIDEB;VASH1;HIF1A;COQ7;JMJD8;RNF41;RSL1D1;ING2;PINK1;EIF6;NPC2;STK17A;PDK4;STUB1;BCO2;MPV17;PPARA;PDK2
GO_Biological_Process_2023,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),87/367,5.966505921619595e-08,3.077391165350907e-05,0,0,2.0319330151415405,33.8002288767172,RNF13;RNF14;TGFB1I1;UBE2D3;UBE2D1;TNFAIP3;UBE2L6;TNFAIP1;CCAR1;UBE2L3;TNFSF13B;HERC5;ANKRD9;HERC4;PSMD7;RNF150;BTRC;FBXO9;HERC6;RNF43;NHLRC3;DTX3L;USP44;UBE2E1;VPS37A;SIRT1;DDB1;PSMA3;IFI27;RNF128;KCTD13;RBCK1;SQSTM1;CHMP7;RNF122;PRKN;PSMD12;VCP;KLHL15;VPS4A;NEDD4L;UBR3;RNF6;RNF7;RNF5;PSMB6;PSMB7;SH3BGRL;RNF213;SHARPIN;ZNRF3;PSMB3;KCTD21;PCBP2;ZSWIM8;MVB12A;RBBP6;DCAF11;UBQLN3;UBE2H;UBE2I;SMURF1;SIAH2;AMFR;FBXL19;KLHL3;PEX10;UBE2G1;WWP2;KLHL20;SPSB3;SPSB2;NSFL1C;UBE2W;PINK1;RNF149;UBQLNL;RLIM;CHMP2A;MDM2;MKRN2;CTNNB1;UBAP1;UBA1;STUB1;UBAP1L;FBXL7
GO_Biological_Process_2023,Fatty Acid Catabolic Process (GO:0009062),25/61,9.659088950279033e-08,4.483749090719527e-05,0,0,4.499301908810536,72.67624023844505,ABCD3;ECHS1;ECI2;HSD17B4;CROT;HSD17B10;MTLN;ACAT2;CPT2;NUDT19;ACAA1;ACAD11;ACADS;DECR1;ACOT8;PHYH;AIG1;HADHB;PLA2G15;HADHA;NUDT7;BDH2;PCCB;ECHDC2;PPARD
GO_Biological_Process_2023,Fatty Acid Metabolic Process (GO:0006631),38/122,3.249849067738909e-07,0.00013714363065858194,0,0,2.9371511137436506,43.879531163923126,ABCD3;MSMO1;CROT;ALKBH7;ACACB;ADIPOR2;HSD17B10;HSD17B8;CPT2;NUDT19;TSPO;MLYCD;ACAA1;ABCD1;ACOT8;PHYH;ACBD4;GPX4;ACSL1;PNPLA8;OXSM;ACSL4;ACADSB;ACSF3;ACSF2;PLA2G15;ACLY;GPAM;FASN;PCCB;NDUFAB1;PNPLA3;SLC27A6;ECHDC3;CYP2E1;LCP1;CRAT;PPARD
GO_Biological_Process_2023,Organonitrogen Compound Biosynthetic Process (GO:1901566),38/123,4.098357725515237e-07,0.00015853813801534777,0,0,2.902427884082393,42.68748513325822,SLC27A1;MOCS2;SLC44A3;ALAS1;SLC44A4;SAMD8;SGMS1;SLC44A2;GSTP1;LCAT;GPHN;SPTLC3;GPAT4;ALDH3B1;ST3GAL4;DMD;APOE;KDSR;SPTSSA;ELOVL1;PCYT1A;CHKA;ELOVL5;PLA2G4C;MOCOS;ORMDL1;ELOVL6;ASS1;SGPP1;PRKD3;LPCAT3;GSTA1;CHPT1;PLPP3;INHA;B4GALT5;BCAT2;CERS2
GO_Biological_Process_2023,Cellular Response To Oxidative Stress (GO:0034599),36/117,9.1242816507773e-07,0.0003258070417146788,0,0,2.88395061728395,40.10755250879009,SRXN1;LRRK2;MPV17L;PXN;MPV17L2;HIF1A;FOXO1;ZFP36L2;PRDX3;PRDX2;CHCHD2;PRDX5;ERMP1;ALDH3B1;ZC3H12A;LONP1;ABL1;ROMO1;STX4;MPV17;PDK2;NQO1;G6PD;PRKCD;GPX8;PEX10;SOD2;EIF2S1;MT3;ETV5;MSRA;CCS;PINK1;SQSTM1;TP53;HSPA1B
GO_Biological_Process_2023,Glycerophospholipid Biosynthetic Process (GO:0046474),34/108,1.0106993117315574e-06,0.0003343679898393484,0,0,2.980347679256223,41.14330654123284,DGKG;AGPAT5;PI4K2B;SLC27A1;SLC44A3;SLC44A4;ABHD4;TAMM41;SLC44A2;DGKA;MTMR14;PTEN;LCAT;PLD1;MTM1;CLN3;GPAT4;ACP6;PLCG2;PMPCA;CDIPT;PCYT2;PCYT1A;CHKA;MBOAT7;PLA2G4C;PITPNM1;GPAM;PITPNM3;LPCAT3;PITPNM2;PNPLA3;CHPT1;PI4K2A
GO_Biological_Process_2023,Mitochondrion Organization (GO:0007005),45/162,1.0804652838410654e-06,0.0003343679898393484,0,0,2.498982498982499,34.331318428232315,PRKN;STOML2;PID1;TOMM40;LRRK2;MTFR1L;PHB2;HSD17B10;IFIT2;MTM1;HSPD1;TYMP;CHCHD4;PRDX3;CHCHD2;AIFM1;AIFM2;LONP1;TIMM17A;RAB29;TIMM17B;TSPO;MPV17;USP30;RAB5IF;BCAP31;TIMM8B;BNIP3L;MGME1;MIGA2;CLUH;MTX3;TOMM34;SIRT4;HIGD2A;SUPV3L1;COX7A2L;PINK1;DNAJA3;RAB38;PYROXD2;MTFR1;MGARP;SPATA18;ATPAF1
GO_Biological_Process_2023,Fatty Acid Oxidation (GO:0019395),21/52,1.3544771315080951e-06,0.00039296767777878615,0,0,4.383689742660384,59.23283251159408,PHYH;ABCD3;ECHS1;ECI2;HSD17B4;CROT;ADIPOR2;HSD17B10;MTLN;ACAT2;HADHB;HADHA;BDH2;CPT2;CYP4V2;ECHDC2;ACAA1;ACAD11;ACADS;PPARD;DECR1
