sample,metric,quantile,value
GSM8848584,total_counts,0.01,515.0
GSM8848584,total_counts,0.05,646.6
GSM8848584,total_counts,0.1,839.4000000000001
GSM8848584,total_counts,0.25,1609.0
GSM8848584,total_counts,0.5,3535.0
GSM8848584,total_counts,0.75,6523.0
GSM8848584,total_counts,0.9,12782.600000000017
GSM8848584,total_counts,0.95,20530.6
GSM8848584,total_counts,0.99,55972.960000000014
GSM8848584,n_genes_by_counts,0.01,375.24
GSM8848584,n_genes_by_counts,0.05,496.6
GSM8848584,n_genes_by_counts,0.1,622.0
GSM8848584,n_genes_by_counts,0.25,1110.0
GSM8848584,n_genes_by_counts,0.5,2154.0
GSM8848584,n_genes_by_counts,0.75,3352.0
GSM8848584,n_genes_by_counts,0.9,5113.200000000001
GSM8848584,n_genes_by_counts,0.95,6547.599999999991
GSM8848584,n_genes_by_counts,0.99,9354.400000000001
GSM8848584,pct_counts_mt,0.01,0.4289555214345455
GSM8848584,pct_counts_mt,0.05,0.8733304589986802
GSM8848584,pct_counts_mt,0.1,1.1932066082954407
GSM8848584,pct_counts_mt,0.25,2.156771719455719
GSM8848584,pct_counts_mt,0.5,3.9453458040952682
GSM8848584,pct_counts_mt,0.75,6.787515431642532
GSM8848584,pct_counts_mt,0.9,10.19706726074219
GSM8848584,pct_counts_mt,0.95,12.929073274135582
GSM8848584,pct_counts_mt,0.99,20.68159937858583
GSM8848585,total_counts,0.01,541.87
GSM8848585,total_counts,0.05,702.35
GSM8848585,total_counts,0.1,939.7
GSM8848585,total_counts,0.25,1545.25
GSM8848585,total_counts,0.5,2448.0
GSM8848585,total_counts,0.75,4529.25
GSM8848585,total_counts,0.9,8888.900000000001
GSM8848585,total_counts,0.95,14077.149999999996
GSM8848585,total_counts,0.99,34543.48000000007
GSM8848585,n_genes_by_counts,0.01,470.0
GSM8848585,n_genes_by_counts,0.05,603.35
GSM8848585,n_genes_by_counts,0.1,779.4000000000001
GSM8848585,n_genes_by_counts,0.25,1228.0
GSM8848585,n_genes_by_counts,0.5,1807.5
GSM8848585,n_genes_by_counts,0.75,2900.25
GSM8848585,n_genes_by_counts,0.9,4633.0
GSM8848585,n_genes_by_counts,0.95,6021.449999999988
GSM8848585,n_genes_by_counts,0.99,8988.91
GSM8848585,pct_counts_mt,0.01,0.0
GSM8848585,pct_counts_mt,0.05,0.09841068764217198
GSM8848585,pct_counts_mt,0.1,0.17741509363986552
GSM8848585,pct_counts_mt,0.25,0.3654589527286589
GSM8848585,pct_counts_mt,0.5,0.7399045629426837
GSM8848585,pct_counts_mt,0.75,1.3277321588248014
GSM8848585,pct_counts_mt,0.9,2.1555597148835663
GSM8848585,pct_counts_mt,0.95,3.0016768723726237
GSM8848585,pct_counts_mt,0.99,5.41859418898821
GSM8848586,total_counts,0.01,497.16
GSM8848586,total_counts,0.05,546.8
GSM8848586,total_counts,0.1,611.6
GSM8848586,total_counts,0.25,845.0
GSM8848586,total_counts,0.5,1334.0
GSM8848586,total_counts,0.75,2573.5
GSM8848586,total_counts,0.9,4746.200000000001
GSM8848586,total_counts,0.95,7442.799999999994
GSM8848586,total_counts,0.99,15866.179999999991
GSM8848586,n_genes_by_counts,0.01,435.0
GSM8848586,n_genes_by_counts,0.05,474.0
GSM8848586,n_genes_by_counts,0.1,517.8
GSM8848586,n_genes_by_counts,0.25,691.0
GSM8848586,n_genes_by_counts,0.5,1036.0
GSM8848586,n_genes_by_counts,0.75,1815.5
GSM8848586,n_genes_by_counts,0.9,2953.4000000000005
GSM8848586,n_genes_by_counts,0.95,3822.099999999999
GSM8848586,n_genes_by_counts,0.99,6188.139999999998
GSM8848586,pct_counts_mt,0.01,0.0
GSM8848586,pct_counts_mt,0.05,0.0
GSM8848586,pct_counts_mt,0.1,0.09966192534193398
GSM8848586,pct_counts_mt,0.25,0.28797710547223687
GSM8848586,pct_counts_mt,0.5,0.6445672363042831
GSM8848586,pct_counts_mt,0.75,1.1781549081206322
GSM8848586,pct_counts_mt,0.9,1.8785893172025687
GSM8848586,pct_counts_mt,0.95,2.4624778330326076
GSM8848586,pct_counts_mt,0.99,4.139412544667709
